Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1.25
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.24
Elapsed Live Time:	300.0
Start Time:	April 21, 2020, 11:16:38
End Time:	April 21, 2020, 11:21:39
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	642	727	1688	610	17	681
2	43	82	1202	701	14	61
3	156	187	2112	431	12	170

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		4
9		5
10		13
11		7
12		7
13		6
14		9
15		15
16		9
17		15
18		12
19		12
20		9
21		9
22		12
23		7
24		11
25		3
26		9
27		10
28		12
29		8
30		14
31		14
32		11
33		13
34		8
35		12
36		10
37		13
38		11
39		15
40		12
41		11
42		14
43		11
44		10
45		20
46		16
47		20
48		15
49		19
50		36
51		36
52		29
53		48
54		37
55		51
56		38
57		61
58		58
59		54
60		55
61		50
62		43
63		44
64		39
65		36
66		29
67		34
68		30
69		31
70		20
71		22
72		24
73		23
74		24
75		21
76		16
77		18
78		16
79		17
80		21
81		17
82		13
83		17
84		30
85		17
86		28
87		20
88		27
89		17
90		39
91		20
92		14
93		18
94		23
95		15
96		19
97		18
98		22
99		26
100		25
101		26
102		26
103		24
104		25
105		30
106		28
107		24
108		35
109		35
110		32
111		31
112		31
113		44
114		35
115		30
116		39
117		28
118		47
119		32
120		32
121		31
122		46
123		37
124		41
125		52
126		47
127		42
128		39
129		48
130		52
131		62
132		46
133		49
134		48
135		44
136		51
137		53
138		43
139		38
140		41
141		44
142		39
143		54
144		61
145		62
146		34
147		41
148		35
149		57
150		61
151		49
152		57
153		62
154		51
155		56
156		59
157		73
158		68
159		68
160		63
161		77
162		68
163		78
164		76
165		63
166		75
167		78
168		76
169		68
170		82
171		86
172		77
173		67
174		75
175		78
176		70
177		60
178		71
179		49
180		52
181		57
182		48
183		46
184		53
185		63
186		39
187		49
188		45
189		48
190		59
191		44
192		44
193		55
194		41
195		45
196		44
197		36
198		43
199		38
200		35
201		35
202		43
203		51
204		46
205		43
206		38
207		37
208		46
209		45
210		43
211		41
212		34
213		39
214		36
215		47
216		45
217		37
218		43
219		38
220		41
221		45
222		43
223		41
224		38
225		41
226		48
227		44
228		45
229		38
230		47
231		40
232		28
233		42
234		40
235		48
236		36
237		36
238		45
239		41
240		36
241		40
242		40
243		41
244		48
245		48
246		29
247		39
248		32
249		32
250		41
251		30
252		36
253		53
254		41
255		33
256		49
257		33
258		33
259		39
260		40
261		31
262		32
263		42
264		46
265		40
266		38
267		49
268		35
269		39
270		34
271		28
272		37
273		29
274		34
275		37
276		47
277		35
278		34
279		38
280		35
281		41
282		38
283		37
284		29
285		31
286		32
287		44
288		43
289		34
290		41
291		44
292		32
293		32
294		50
295		53
296		45
297		34
298		36
299		43
300		36
301		42
302		49
303		39
304		35
305		42
306		47
307		38
308		39
309		41
310		35
311		31
312		40
313		37
314		41
315		42
316		37
317		46
318		33
319		46
320		39
321		38
322		35
323		32
324		31
325		22
326		37
327		34
328		24
329		32
330		33
331		36
332		34
333		19
334		29
335		31
336		33
337		31
338		31
339		34
340		37
341		20
342		27
343		30
344		20
345		28
346		15
347		20
348		24
349		28
350		25
351		14
352		30
353		23
354		24
355		19
356		23
357		24
358		30
359		27
360		23
361		18
362		28
363		20
364		20
365		22
366		19
367		20
368		24
369		22
370		19
371		16
372		21
373		28
374		23
375		19
376		14
377		26
378		25
379		31
380		24
381		18
382		13
383		30
384		18
385		20
386		24
387		26
388		17
389		21
390		13
391		15
392		20
393		16
394		16
395		11
396		15
397		30
398		25
399		19
400		19
401		14
402		21
403		12
404		14
405		21
406		26
407		22
408		18
409		14
410		18
411		15
412		20
413		15
414		16
415		18
416		13
417		15
418		21
419		15
420		19
421		21
422		21
423		13
424		18
425		13
426		13
427		16
428		13
429		12
430		18
431		14
432		13
433		16
434		10
435		17
436		18
437		11
438		17
439		16
440		20
441		15
442		17
443		20
444		21
445		15
446		12
447		13
448		16
449		24
450		17
451		14
452		15
453		10
454		17
455		15
456		11
457		18
458		12
