Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1.25
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	1000.79
Elapsed Live Time:	1000.0
Start Time:	April 21, 2020, 12:01:26
End Time:	April 21, 2020, 12:18:07
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	642	727	5556	2416	10	680
2	43	82	3604	1403	15	61
3	156	187	7290	1577	15	170

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		1
6		1
7		5
8		13
9		31
10		40
11		43
12		30
13		39
14		41
15		38
16		41
17		38
18		46
19		36
20		35
21		40
22		36
23		47
24		26
25		35
26		43
27		30
28		44
29		22
30		35
31		43
32		48
33		31
34		36
35		36
36		42
37		34
38		35
39		52
40		45
41		37
42		44
43		44
44		64
45		60
46		55
47		62
48		82
49		83
50		108
51		94
52		116
53		120
54		131
55		133
56		149
57		143
58		113
59		138
60		137
61		144
62		124
63		121
64		112
65		113
66		74
67		105
68		78
69		93
70		73
71		79
72		74
73		64
74		52
75		73
76		56
77		59
78		47
79		54
80		58
81		59
82		60
83		64
84		54
85		54
86		64
87		63
88		61
89		54
90		59
91		73
92		77
93		97
94		72
95		69
96		74
97		69
98		73
99		75
100		76
101		108
102		88
103		99
104		99
105		96
106		111
107		95
108		93
109		109
110		88
111		116
112		102
113		116
114		130
115		117
116		111
117		132
118		110
119		113
120		133
121		124
122		142
123		129
124		151
125		132
126		139
127		135
128		148
129		147
130		176
131		177
132		184
133		164
134		177
135		150
136		162
137		179
138		162
139		170
140		155
141		175
142		182
143		165
144		163
145		153
146		143
147		141
148		170
149		193
150		155
151		176
152		176
153		191
154		199
155		200
156		205
157		183
158		206
159		228
160		234
161		245
162		253
163		250
164		277
165		262
166		261
167		274
168		277
169		317
170		249
171		245
172		290
173		263
174		234
175		226
176		235
177		264
178		195
179		203
180		196
181		208
182		163
183		190
184		180
185		161
186		165
187		151
188		170
189		131
190		159
191		136
192		120
193		151
194		153
195		150
196		117
197		131
198		146
199		141
200		147
201		131
202		140
203		136
204		144
205		139
206		128
207		172
208		137
209		142
210		141
211		118
212		120
213		152
214		154
215		140
216		134
217		147
218		142
219		137
220		132
221		155
222		128
223		144
224		117
225		146
226		137
227		159
228		142
229		115
230		114
231		127
232		135
233		128
234		111
235		141
236		138
237		126
238		124
239		143
240		141
241		137
242		134
243		129
244		146
245		149
246		116
247		160
248		127
249		139
250		137
251		135
252		150
253		132
254		154
255		142
256		104
257		125
258		112
259		138
260		140
261		140
262		137
263		158
264		151
265		151
266		119
267		136
268		134
269		134
270		116
271		123
272		126
273		132
274		130
275		146
276		140
277		164
278		121
279		105
280		154
281		118
282		145
283		144
284		147
285		145
286		115
287		149
288		140
289		131
290		132
291		141
292		152
293		126
294		118
295		116
296		131
297		137
298		144
299		136
300		151
301		118
302		130
303		117
304		144
305		125
306		131
307		109
308		137
309		123
310		131
311		110
312		141
313		151
314		126
315		145
316		112
317		125
318		117
319		115
320		131
321		127
322		111
323		117
324		113
325		105
326		112
327		108
328		103
329		110
330		107
331		95
332		100
333		110
334		105
335		84
336		100
337		94
338		99
339		99
340		92
341		105
342		89
343		90
344		89
345		89
346		100
347		76
348		76
349		82
350		102
351		82
352		75
353		101
354		78
355		78
356		86
357		67
358		70
359		80
360		83
361		68
362		93
363		81
364		74
365		75
366		78
367		74
368		79
369		66
370		76
371		66
372		75
373		63
374		69
375		93
376		57
377		74
378		73
379		69
380		73
381		68
382		81
383		75
384		78
385		71
386		73
387		70
388		58
389		60
390		52
391		56
392		69
393		59
394		69
395		59
396		52
397		60
398		67
399		74
400		56
401		59
402		64
403		78
404		54
405		64
406		71
407		55
408		69
409		66
410		65
411		54
412		58
413		56
414		51
415		50
416		63
417		55
418		54
419		58
420		68
421		56
422		54
423		57
424		56
425		51
426		52
427		55
428		63
429		63
430		65
431		50
432		49
433		53
434		71
435		54
436		61
437		63
438		56
439		47
440		55
441		51
442		58
443		47
444		48
445		56
446		55
447		61
448		37
449		46
450		51
451		61
452		40
453		60
454		59
455		57
456		51
457		47
