Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1.25
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	309.07
Elapsed Live Time:	308.91
Start Time:	April 21, 2020, 01:49:38
End Time:	April 21, 2020, 01:54:47
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	642	727	397	138	5	682
2	43	82	405	84	8	63
3	156	187	1190	85	5	171

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		1
5		2
6		0
7		0
8		2
9		7
10		5
11		4
12		8
13		14
14		6
15		5
16		14
17		11
18		6
19		10
20		6
21		2
22		7
23		9
24		3
25		7
26		7
27		9
28		4
29		13
30		7
31		9
32		7
33		5
34		7
35		8
36		8
37		4
38		10
39		10
40		9
41		5
42		6
43		5
44		5
45		11
46		3
47		7
48		10
49		13
50		5
51		11
52		8
53		8
54		12
55		13
56		10
57		9
58		8
59		11
60		11
61		12
62		12
63		8
64		13
65		9
66		10
67		10
68		10
69		12
70		14
71		9
72		12
73		7
74		10
75		11
76		14
77		10
78		17
79		11
80		7
81		15
82		12
83		10
84		10
85		13
86		17
87		18
88		10
89		12
90		15
91		17
92		16
93		14
94		15
95		23
96		15
97		24
98		19
99		17
100		21
101		20
102		19
103		14
104		16
105		14
106		12
107		25
108		26
109		17
110		18
111		20
112		35
113		17
114		24
115		19
116		18
117		24
118		30
119		21
120		35
121		29
122		22
123		28
124		25
125		25
126		32
127		20
128		30
129		34
130		40
131		17
132		28
133		20
134		26
135		31
136		34
137		38
138		31
139		42
140		30
141		37
142		28
143		35
144		37
145		32
146		33
147		24
148		30
149		29
150		31
151		37
152		43
153		22
154		32
155		23
156		26
157		42
158		37
159		33
160		42
161		27
162		39
163		42
164		47
165		39
166		37
167		31
168		40
169		35
170		34
171		41
172		41
173		31
174		35
175		37
176		35
177		30
178		39
179		39
180		33
181		38
182		39
183		41
184		37
185		38
186		38
187		47
188		36
189		44
190		40
191		31
192		39
193		38
194		35
195		38
196		39
197		30
198		32
199		41
200		33
201		36
202		33
203		33
204		31
205		44
206		35
207		36
208		30
209		34
210		41
211		27
212		35
213		37
214		36
215		44
216		36
217		32
218		55
219		26
220		33
221		35
222		34
223		35
224		47
225		41
226		29
227		32
228		40
229		27
230		33
231		31
232		42
233		35
234		41
235		45
236		23
237		44
238		29
239		28
240		34
241		34
242		36
243		38
244		32
245		38
246		37
247		32
248		30
249		29
250		40
251		30
252		43
253		24
254		36
255		34
256		34
257		42
258		40
259		30
260		31
261		33
262		37
263		25
264		14
265		37
266		29
267		34
268		33
269		34
270		29
271		23
272		20
273		27
274		31
275		22
276		32
277		33
278		30
279		28
280		21
281		27
282		20
283		32
284		23
285		26
286		28
287		39
288		21
289		23
290		29
291		18
292		29
293		26
294		13
295		30
296		22
297		23
298		27
299		17
300		18
301		26
302		25
303		17
304		31
305		26
306		22
307		14
308		21
309		24
310		18
311		31
312		18
313		21
314		23
315		18
316		30
317		29
318		18
319		20
320		23
321		32
322		25
323		22
324		27
325		19
326		18
327		19
328		22
329		17
330		26
331		18
332		18
333		17
334		16
335		19
336		19
337		28
338		27
339		22
340		19
341		27
342		26
343		16
344		19
345		23
346		28
347		28
348		24
349		30
350		16
351		20
352		24
353		15
354		21
355		12
356		22
357		22
358		22
359		27
360		23
361		17
362		25
363		21
364		16
365		23
366		22
367		23
368		14
369		18
370		11
371		13
372		21
373		18
374		22
375		21
376		22
377		11
378		11
379		19
380		16
381		15
382		25
383		13
384		22
385		20
386		19
387		14
388		15
389		18
390		14
391		13
392		26
393		18
394		22
395		25
396		20
397		20
398		13
399		6
400		24
401		6
402		22
403		9
404		12
405		12
406		14
407		14
408		17
409		12
410		16
411		16
412		25
413		14
414		21
415		16
416		10
417		16
418		20
419		4
420		10
421		20
422		17
423		13
424		22
425		12
426		13
427		25
428		20
429		14
430		9
431		14
432		14
433		13
434		8
435		19
436		11
437		11
438		12
439		8
440		14
441		20
442		13
443		12
444		9
445		11
446		20
447		15
448		11
449		11
450		8
451		14
452		15
453		10
454		14
455		8
456		26
457		19
458		17
