Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1.25
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.35
Elapsed Live Time:	300.0
Start Time:	April 21, 2020, 10:15:37
End Time:	April 21, 2020, 10:20:38
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		3
8		17
9		37
10		33
11		19
12		26
13		15
14		15
15		18
16		20
17		15
18		13
19		16
20		9
21		12
22		14
23		13
24		9
25		11
26		16
27		21
28		15
29		16
30		10
31		15
32		18
33		14
34		14
35		13
36		17
37		20
38		15
39		25
40		15
41		14
42		24
43		28
44		26
45		28
46		24
47		25
48		49
49		55
50		57
51		69
52		112
53		135
54		141
55		211
56		234
57		319
58		330
59		402
60		411
61		481
62		502
63		455
64		426
65		430
66		409
67		350
68		327
69		263
70		240
71		211
72		180
73		168
74		128
75		124
76		115
77		81
78		79
79		65
80		53
81		47
82		38
83		27
84		40
85		23
86		29
87		24
88		21
89		28
90		20
91		22
92		24
93		30
94		32
95		29
96		26
97		33
98		35
99		27
100		28
101		35
102		32
103		40
104		35
105		47
106		49
107		39
108		21
109		44
110		36
111		39
112		46
113		43
114		35
115		41
116		50
117		45
118		36
119		46
120		42
121		61
122		44
123		48
124		48
125		52
126		46
127		49
128		64
129		57
130		57
131		53
132		60
133		43
134		68
135		65
136		49
137		59
138		72
139		67
140		56
141		60
142		58
143		72
144		74
145		54
146		54
147		75
148		72
149		63
150		71
151		53
152		68
153		76
154		88
155		89
156		83
157		82
158		103
159		95
160		114
161		112
162		124
163		116
164		119
165		140
166		133
167		128
168		143
169		123
170		140
171		149
172		132
173		139
174		135
175		141
176		114
177		104
178		117
179		78
180		100
181		94
182		73
183		74
184		60
185		56
186		61
187		73
188		42
189		56
190		45
191		55
192		52
193		45
194		43
195		43
196		58
197		51
198		39
199		40
200		50
201		53
202		38
203		40
204		47
205		40
206		39
207		45
208		47
209		56
210		41
211		48
212		39
213		33
214		51
215		42
216		44
217		47
218		44
219		50
220		41
221		25
222		43
223		42
224		49
225		44
226		50
227		48
228		39
229		54
230		53
231		45
232		43
233		36
234		44
235		53
236		40
237		42
238		37
239		40
240		44
241		40
242		54
243		32
244		46
245		39
246		38
247		39
248		52
249		34
250		36
251		42
252		41
253		42
254		34
255		41
256		32
257		44
258		45
259		33
260		40
261		48
262		31
263		44
264		38
265		36
266		45
267		34
268		43
269		54
270		43
271		40
272		41
273		45
274		35
275		39
276		51
277		50
278		43
279		44
280		55
281		51
282		34
283		52
284		45
285		31
286		53
287		41
288		34
289		42
290		37
291		38
292		44
293		58
294		40
295		51
296		36
297		46
298		37
299		69
300		46
301		46
302		41
303		47
304		41
305		56
306		45
307		49
308		42
309		37
310		37
311		45
312		39
313		37
314		45
315		40
316		25
317		44
318		35
319		46
320		31
321		40
322		43
323		40
324		46
325		44
326		33
327		33
328		38
329		47
330		34
331		36
332		29
333		39
334		33
335		32
336		41
337		31
338		40
339		37
340		35
341		32
342		31
343		36
344		33
345		20
346		26
347		30
348		24
349		19
350		19
351		30
352		26
353		20
354		33
355		32
356		21
357		21
358		27
359		22
360		21
361		29
362		30
363		25
364		31
365		28
366		31
367		28
368		34
369		19
370		25
371		31
372		21
373		34
374		42
375		24
376		26
377		25
378		29
379		36
380		32
381		32
382		17
383		25
384		28
385		21
386		18
387		23
388		22
389		11
390		15
391		22
392		19
393		18
394		16
395		16
396		20
397		18
398		28
399		15
400		19
401		15
402		20
403		17
404		21
405		16
406		17
407		27
408		25
409		20
410		25
411		18
412		14
413		22
414		17
415		17
416		22
417		19
418		17
419		24
420		16
421		13
422		15
423		25
424		27
425		14
426		16
427		15
428		18
429		18
430		22
431		19
432		21
433		21
434		22
435		17
436		21
437		20
438		15
439		14
440		14
441		20
442		13
443		15
444		11
445		14
446		14
447		16
448		10
449		10
450		17
451		17
452		19
453		13
454		21
455		19
456		18
457		10
458		13
459		18
460		19
461		20
462		17
463		19
464		12
465		18
466		14
467		17
468		21
469		12
