Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.33
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 03:11:36
End Time:	April 15, 2020, 03:16:37
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	30	52	947	83	8	40
2	705	839	4300	3761	38	775

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		10
9		15
10		21
11		16
12		19
13		22
14		19
15		24
16		24
17		33
18		32
19		21
20		31
21		17
22		21
23		28
24		18
25		29
26		31
27		36
28		38
29		44
30		36
31		49
32		48
33		36
34		48
35		56
36		47
37		60
38		46
39		46
40		51
41		30
42		40
43		39
44		36
45		38
46		25
47		31
48		46
49		44
50		26
51		32
52		37
53		30
54		36
55		36
56		39
57		44
58		34
59		29
60		42
61		40
62		39
63		53
64		54
65		38
66		55
67		45
68		44
69		53
70		49
71		55
72		50
73		53
74		45
75		69
76		47
77		51
78		83
79		55
80		61
81		66
82		68
83		68
84		75
85		68
86		89
87		67
88		62
89		58
90		74
91		82
92		93
93		68
94		70
95		86
96		69
97		70
98		76
99		70
100		72
101		67
102		93
103		80
104		66
105		87
106		94
107		88
108		93
109		95
110		106
111		86
112		75
113		59
114		67
115		94
116		83
117		80
118		85
119		69
120		79
121		85
122		78
123		78
124		72
125		84
126		83
127		79
128		91
129		72
130		79
131		93
132		77
133		72
134		82
135		95
136		94
137		86
138		69
139		99
140		80
141		88
142		69
143		75
144		90
145		79
146		92
147		70
148		74
149		83
150		101
151		81
152		93
153		62
154		71
155		77
156		68
157		79
158		84
159		75
160		73
161		60
162		72
163		90
164		83
165		82
166		67
167		87
168		68
169		63
170		62
171		68
172		78
173		73
174		74
175		75
176		81
177		62
178		76
179		72
180		75
181		89
182		66
183		67
184		72
185		62
186		76
187		75
188		68
189		73
190		71
191		72
192		80
193		65
194		90
195		60
196		59
197		62
198		67
199		56
200		54
201		65
202		64
203		63
204		69
205		65
206		56
207		59
208		78
209		57
210		73
211		69
212		54
213		62
214		75
215		53
216		80
217		66
218		70
219		75
220		74
221		69
222		73
223		72
224		83
225		75
226		87
227		73
228		78
229		81
230		91
231		90
232		83
233		81
234		92
235		88
236		80
237		82
238		88
239		68
240		98
241		67
242		79
243		67
244		94
245		78
246		77
247		83
248		90
249		79
250		76
251		87
252		75
253		83
254		79
255		57
256		68
257		67
258		67
259		70
260		70
261		55
262		59
263		55
264		47
265		59
266		37
267		47
268		56
269		63
270		53
271		56
272		48
273		46
274		46
275		41
276		44
277		52
278		38
279		40
280		38
281		43
282		29
283		35
284		29
285		31
286		43
287		50
288		29
289		47
290		31
291		43
292		34
293		39
294		47
295		31
296		45
297		39
298		30
299		42
300		32
301		39
302		36
303		34
304		35
305		24
306		42
307		37
308		38
309		43
310		34
311		31
312		27
313		34
314		21
315		33
316		32
317		28
318		29
319		24
320		34
321		22
322		37
323		25
324		35
325		39
326		24
327		28
328		33
329		30
330		32
331		27
332		38
333		17
334		35
335		26
336		39
337		30
338		27
339		28
340		17
341		39
342		32
343		31
344		27
345		34
346		28
347		25
348		27
349		22
350		24
351		35
352		22
353		20
354		21
355		26
356		27
357		19
358		25
359		25
360		24
361		33
362		25
363		30
364		39
365		27
366		25
367		22
368		25
369		27
370		14
371		22
372		28
373		28
374		21
375		30
376		22
377		26
378		30
379		22
380		31
381		29
382		20
383		28
384		23
385		30
386		25
387		25
388		26
389		22
390		22
391		29
392		19
393		19
394		36
395		20
396		18
397		22
398		29
399		25
400		22
401		19
402		25
403		22
404		18
405		28
406		33
407		15
408		22
409		23
410		21
411		22
412		17
413		32
414		21
415		26
416		18
417		22
418		30
419		23
420		16
421		38
422		29
423		21
424		17
425		22
426		19
427		25
428		21
429		12
430		18
431		33
432		14
433		18
434		22
435		26
436		17
437		20
438		17
439		23
440		23
441		29
442		18
443		20
444		20
445		22
446		26
447		22
448		19
449		19
450		22
451		17
452		21
453		15
454		16
455		25
456		21
457		26
458		13
459		14
460		21
461		13
462		25
