Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.33
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 01:49:38
End Time:	April 15, 2020, 01:54:39
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	30	52	753	-7	2	40
2	705	839	4254	3780	44	774

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		7
9		19
10		26
11		18
12		25
13		28
14		24
15		21
16		24
17		29
18		35
19		29
20		23
21		32
22		28
23		13
24		24
25		25
26		33
27		31
28		24
29		24
30		26
31		41
32		33
33		39
34		34
35		31
36		46
37		34
38		30
39		25
40		35
41		32
42		37
43		36
44		22
45		30
46		27
47		17
48		40
49		28
50		38
51		47
52		25
53		40
54		39
55		45
56		36
57		34
58		45
59		28
60		43
61		45
62		38
63		41
64		33
65		47
66		39
67		37
68		46
69		38
70		48
71		51
72		50
73		61
74		49
75		46
76		58
77		57
78		61
79		52
80		62
81		56
82		75
83		59
84		63
85		59
86		65
87		65
88		69
89		77
90		71
91		72
92		83
93		77
94		81
95		71
96		77
97		77
98		80
99		75
100		65
101		78
102		86
103		70
104		87
105		71
106		73
107		77
108		84
109		94
110		93
111		71
112		69
113		78
114		71
115		78
116		79
117		71
118		68
119		77
120		90
121		87
122		84
123		81
124		84
125		80
126		80
127		61
128		78
129		87
130		91
131		64
132		78
133		84
134		84
135		81
136		63
137		83
138		81
139		80
140		80
141		85
142		77
143		73
144		62
145		77
146		84
147		85
148		71
149		68
150		103
151		68
152		72
153		84
154		75
155		79
156		86
157		81
158		70
159		78
160		87
161		64
162		74
163		79
164		86
165		86
166		67
167		91
168		83
169		61
170		85
171		71
172		73
173		76
174		78
175		69
176		63
177		76
178		66
179		79
180		83
181		69
182		76
183		70
184		74
185		58
186		64
187		64
188		64
189		69
190		65
191		66
192		68
193		77
194		80
195		90
196		70
197		62
198		62
199		55
200		66
201		66
202		65
203		64
204		50
205		66
206		72
207		61
208		65
209		61
210		63
211		78
212		66
213		86
214		74
215		69
216		63
217		94
218		47
219		70
220		80
221		63
222		70
223		74
224		77
225		78
226		80
227		83
228		85
229		102
230		78
231		77
232		90
233		83
234		76
235		83
236		82
237		54
238		79
239		71
240		73
241		77
242		77
243		69
244		60
245		77
246		80
247		82
248		77
249		79
250		63
251		55
252		57
253		70
254		57
255		62
256		73
257		63
258		53
259		59
260		64
261		56
262		63
263		55
264		50
265		59
266		68
267		43
268		38
269		46
270		36
271		48
272		47
273		43
274		56
275		44
276		43
277		42
278		38
279		48
280		45
281		39
282		45
283		52
284		41
285		38
286		36
287		47
288		36
289		31
290		35
291		41
292		45
293		45
294		42
295		45
296		39
297		35
298		27
299		33
300		40
301		50
302		22
303		35
304		37
305		37
306		37
307		33
308		32
309		36
310		23
311		32
312		40
313		32
314		39
315		30
316		29
317		28
318		35
319		34
320		34
321		35
322		34
323		34
324		27
325		40
326		28
327		40
328		39
329		42
330		34
331		33
332		31
333		25
334		43
335		26
336		34
337		24
338		30
339		36
340		30
341		30
342		26
343		33
344		29
345		28
346		30
347		22
348		30
349		26
350		35
351		33
352		21
353		20
354		41
355		28
356		27
357		28
358		32
359		29
360		22
361		34
362		22
363		29
364		19
365		18
366		21
367		29
368		31
369		31
370		29
371		29
372		22
373		22
374		29
375		24
376		32
377		34
378		30
379		23
380		20
381		22
382		19
383		26
384		22
385		32
386		24
387		25
388		23
389		21
390		25
391		31
392		16
393		31
394		16
395		27
396		18
397		24
398		20
399		27
400		33
401		23
402		27
403		24
404		24
405		21
406		23
407		20
408		19
409		19
410		23
411		30
412		19
413		26
414		16
415		19
416		26
417		23
418		25
419		28
420		26
421		17
422		14
423		27
424		27
425		14
426		27
427		18
428		29
429		19
430		22
431		17
432		14
433		20
434		23
435		27
436		34
437		25
438		23
439		14
440		17
441		20
442		29
443		21
444		25
445		18
446		20
447		19
448		25
449		35
450		23
451		17
452		22
453		20
454		17
455		23
456		29
457		23
458		18
459		16
460		21
461		13
