Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.35
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 12:56:19
End Time:	April 15, 2020, 01:01:20
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	741	814	835	686	19	773

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		20
9		40
10		42
11		40
12		48
13		67
14		72
15		68
16		67
17		73
18		65
19		76
20		72
21		92
22		61
23		71
24		58
25		70
26		75
27		79
28		87
29		69
30		78
31		89
32		112
33		100
34		115
35		118
36		116
37		96
38		127
39		118
40		118
41		149
42		132
43		133
44		143
45		150
46		159
47		154
48		158
49		160
50		171
51		161
52		148
53		162
54		149
55		204
56		181
57		176
58		152
59		158
60		135
61		173
62		152
63		173
64		135
65		163
66		158
67		144
68		165
69		141
70		129
71		150
72		160
73		166
74		154
75		163
76		152
77		146
78		151
79		166
80		144
81		142
82		152
83		145
84		137
85		142
86		147
87		176
88		151
89		148
90		164
91		149
92		163
93		145
94		139
95		138
96		156
97		157
98		112
99		151
100		139
101		155
102		146
103		143
104		167
105		170
106		146
107		162
108		172
109		166
110		197
111		172
112		186
113		203
114		185
115		168
116		165
117		155
118		164
119		145
120		140
121		152
122		116
123		130
124		133
125		108
126		108
127		130
128		105
129		110
130		107
131		105
132		106
133		117
134		112
135		106
136		88
137		92
138		82
139		88
140		94
141		99
142		111
143		108
144		87
145		98
146		113
147		90
148		79
149		92
150		88
151		106
152		101
153		82
154		93
155		73
156		98
157		74
158		78
159		74
160		79
161		62
162		66
163		68
164		62
165		74
166		70
167		72
168		49
169		68
170		62
171		62
172		50
173		64
174		64
175		44
176		47
177		66
178		56
179		60
180		56
181		57
182		63
183		48
184		59
185		44
186		49
187		37
188		41
189		49
190		56
191		50
192		56
193		46
194		57
195		51
196		48
197		48
198		44
199		52
200		44
201		36
202		47
203		46
204		34
205		45
206		62
207		41
208		33
209		39
210		38
211		50
212		49
213		28
214		30
215		35
216		29
217		35
218		24
219		20
220		25
221		34
222		17
223		35
224		28
225		22
226		34
227		24
228		17
229		17
230		19
231		23
232		19
233		26
234		23
235		15
236		18
237		16
238		20
239		25
240		29
241		18
242		12
243		15
244		19
245		17
246		9
247		26
248		24
249		14
250		10
251		22
252		16
253		19
254		16
255		15
256		16
257		19
258		21
259		16
260		22
261		12
262		17
263		16
264		18
265		18
266		27
267		24
268		18
269		15
270		21
271		24
272		23
273		13
274		23
275		14
276		18
277		23
278		13
279		16
280		12
281		20
282		19
283		11
284		16
285		16
286		17
287		12
288		19
289		20
290		26
291		28
292		30
293		28
294		26
295		26
296		55
297		49
298		58
299		51
300		71
301		74
302		66
303		86
304		83
305		104
306		101
307		124
308		116
309		115
310		156
311		121
312		144
313		162
314		148
315		157
316		152
317		155
318		156
319		153
320		146
321		160
322		151
323		134
324		123
325		116
326		126
327		123
328		122
329		110
330		94
331		93
332		74
333		58
334		50
335		49
336		41
337		41
338		39
339		28
340		25
341		24
342		14
343		20
344		15
345		19
346		17
347		9
348		15
349		10
350		7
351		8
352		10
353		19
354		10
355		8
356		9
357		5
358		11
359		7
360		11
361		14
362		11
363		8
364		5
365		9
366		13
367		9
368		10
369		3
370		5
371		9
372		9
373		10
374		8
375		10
376		7
377		11
378		13
379		9
380		11
381		10
382		6
383		11
384		9
385		12
386		14
387		9
388		12
389		11
390		10
391		10
392		8
393		4
394		9
395		10
396		6
397		14
398		3
399		11
400		6
401		7
402		12
403		12
404		15
405		12
406		11
407		8
408		10
409		9
410		5
411		9
412		7
413		11
414		8
415		9
416		6
417		12
418		8
419		12
420		8
421		11
422		12
423		12
424		10
425		6
426		2
427		6
428		18
429		7
430		10
431		8
432		7
433		11
434		8
435		5
436		8
437		11
438		6
439		7
440		11
441		10
442		10
443		7
444		7
445		7
446		7
447		5
448		9
449		9
450		5
451		4
452		12
453		10
454		9
455		7
456		6
457		7
458		2
459		11
460		5
461		5
462		9
463		5
464		6
465		8
466		7
