Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.38
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 01:30:43
End Time:	April 15, 2020, 01:35:43
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	30	52	2593	1522	12	39
2	705	839	5731	5257	47	776

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		8
9		14
10		27
11		23
12		31
13		34
14		39
15		35
16		28
17		42
18		22
19		29
20		26
21		41
22		26
23		27
24		33
25		34
26		39
27		37
28		34
29		42
30		55
31		56
32		71
33		84
34		126
35		160
36		154
37		206
38		186
39		210
40		198
41		199
42		147
43		124
44		123
45		98
46		66
47		72
48		67
49		55
50		46
51		43
52		47
53		39
54		51
55		40
56		43
57		31
58		35
59		52
60		46
61		44
62		45
63		40
64		44
65		55
66		59
67		47
68		63
69		41
70		55
71		59
72		65
73		56
74		48
75		46
76		69
77		53
78		69
79		69
80		64
81		63
82		68
83		55
84		62
85		79
86		79
87		70
88		64
89		78
90		72
91		78
92		85
93		73
94		73
95		74
96		94
97		73
98		84
99		85
100		89
101		83
102		75
103		92
104		101
105		78
106		94
107		86
108		91
109		83
110		90
111		83
112		99
113		89
114		82
115		85
116		99
117		91
118		83
119		82
120		77
121		81
122		85
123		89
124		84
125		91
126		85
127		80
128		89
129		93
130		89
131		83
132		85
133		77
134		95
135		84
136		77
137		77
138		81
139		84
140		84
141		79
142		80
143		92
144		95
145		72
146		80
147		84
148		80
149		74
150		81
151		99
152		83
153		94
154		75
155		69
156		72
157		72
158		84
159		85
160		97
161		89
162		79
163		89
164		63
165		63
166		83
167		64
168		91
169		76
170		86
171		75
172		73
173		84
174		79
175		75
176		72
177		78
178		60
179		62
180		69
181		88
182		72
183		64
184		68
185		73
186		61
187		75
188		90
189		79
190		76
191		82
192		83
193		83
194		70
195		65
196		74
197		78
198		79
199		70
200		81
201		67
202		69
203		77
204		94
205		86
206		62
207		70
208		86
209		53
210		72
211		56
212		73
213		71
214		73
215		72
216		77
217		60
218		72
219		71
220		73
221		94
222		79
223		85
224		89
225		98
226		97
227		79
228		82
229		96
230		95
231		85
232		91
233		84
234		105
235		89
236		106
237		88
238		90
239		98
240		104
241		97
242		74
243		88
244		82
245		99
246		76
247		91
248		91
249		82
250		71
251		66
252		95
253		83
254		83
255		74
256		74
257		61
258		52
259		73
260		53
261		62
262		77
263		84
264		64
265		62
266		77
267		56
268		63
269		76
270		59
271		54
272		51
273		46
274		42
275		55
276		43
277		40
278		39
279		59
280		49
281		55
282		59
283		36
284		45
285		47
286		32
287		50
288		59
289		52
290		49
291		39
292		40
293		46
294		43
295		53
296		40
297		26
298		44
299		30
300		38
301		43
302		38
303		37
304		42
305		34
306		38
307		34
308		43
309		25
310		32
311		34
312		43
313		38
314		39
315		31
316		35
317		45
318		45
319		31
320		36
321		45
322		35
323		29
324		34
325		39
326		46
327		28
328		32
329		36
330		25
331		43
332		28
333		34
334		39
335		33
336		32
337		45
338		32
339		32
340		37
341		31
342		34
343		30
344		42
345		33
346		32
347		30
348		36
349		30
350		32
351		31
352		22
353		36
354		28
355		34
356		27
357		34
358		21
359		25
360		24
361		31
362		26
363		28
364		44
365		31
366		33
367		29
368		17
369		38
370		29
371		27
372		17
373		24
374		21
375		26
376		32
377		24
378		27
379		34
380		26
381		26
382		25
383		26
384		34
385		32
386		27
387		33
388		18
389		31
390		34
391		29
392		32
393		29
394		27
395		26
396		21
397		26
398		24
399		34
400		26
401		30
402		29
403		23
404		27
405		19
406		23
407		27
408		26
409		24
410		23
411		18
412		26
413		29
414		30
415		31
416		36
417		27
418		26
419		39
420		25
421		25
422		30
423		25
424		24
425		28
426		42
427		36
428		33
429		18
430		28
431		28
432		22
433		20
434		26
435		30
436		30
437		22
438		19
439		24
440		31
441		20
442		30
443		25
444		28
445		27
446		21
447		22
448		14
449		24
450		25
451		20
452		24
453		29
454		25
455		29
456		35
457		19
458		23
459		20
460		32
461		28
