Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	60.08
Elapsed Live Time:	60.0
Start Time:	April 15, 2020, 10:44:21
End Time:	April 15, 2020, 10:45:21
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	741	814	215	215	4	774

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		5
9		10
10		11
11		12
12		17
13		14
14		18
15		20
16		14
17		23
18		16
19		16
20		16
21		24
22		18
23		18
24		16
25		15
26		14
27		14
28		17
29		30
30		20
31		23
32		25
33		24
34		26
35		26
36		21
37		21
38		21
39		18
40		29
41		21
42		32
43		32
44		37
45		32
46		27
47		26
48		27
49		43
50		32
51		35
52		35
53		39
54		33
55		30
56		32
57		36
58		30
59		30
60		37
61		31
62		32
63		37
64		37
65		32
66		33
67		33
68		30
69		28
70		34
71		36
72		42
73		40
74		31
75		31
76		46
77		38
78		32
79		34
80		44
81		31
82		41
83		31
84		25
85		37
86		34
87		28
88		30
89		26
90		24
91		49
92		29
93		31
94		42
95		26
96		37
97		38
98		23
99		50
100		29
101		30
102		25
103		33
104		33
105		32
106		40
107		33
108		44
109		31
110		28
111		49
112		28
113		36
114		38
115		42
116		38
117		40
118		44
119		34
120		37
121		37
122		30
123		28
124		29
125		37
126		22
127		22
128		30
129		18
130		24
131		23
132		27
133		22
134		32
135		22
136		21
137		19
138		18
139		26
140		20
141		26
142		14
143		14
144		24
145		20
146		19
147		23
148		27
149		17
150		21
151		16
152		16
153		19
154		23
155		19
156		16
157		17
158		12
159		19
160		15
161		18
162		18
163		16
164		9
165		9
166		10
167		22
168		10
169		11
170		13
171		13
172		16
173		14
174		9
175		10
176		11
177		17
178		14
179		10
180		12
181		13
182		13
183		12
184		15
185		5
186		10
187		10
188		14
189		11
190		12
191		13
192		17
193		13
194		15
195		8
196		9
197		11
198		6
199		15
200		15
201		16
202		6
203		5
204		11
205		10
206		5
207		3
208		6
209		2
210		5
211		8
212		9
213		8
214		5
215		8
216		7
217		10
218		10
219		8
220		13
221		7
222		7
223		5
224		4
225		3
226		8
227		7
228		3
229		5
230		5
231		5
232		2
233		5
234		3
235		3
236		9
237		6
238		3
239		4
240		2
241		4
242		4
243		10
244		4
245		2
246		4
247		3
248		6
249		4
250		7
251		5
252		1
253		5
254		5
255		6
256		4
257		1
258		3
259		4
260		4
261		2
262		9
263		5
264		6
265		3
266		4
267		6
268		4
269		2
270		1
271		6
272		3
273		3
274		4
275		4
276		7
277		3
278		4
279		7
280		7
281		1
282		6
283		4
284		9
285		4
286		1
287		2
288		3
289		6
290		8
291		5
292		2
293		3
294		7
295		5
296		5
297		9
298		11
299		5
300		7
301		17
302		10
303		12
304		21
305		22
306		25
307		14
308		31
309		44
310		29
311		40
312		37
313		40
314		38
315		50
316		47
317		39
318		39
319		36
320		47
321		29
322		43
323		39
324		45
325		51
326		35
327		41
328		32
329		29
330		35
331		25
332		23
333		25
334		17
335		21
336		17
337		10
338		15
339		6
340		10
341		11
342		8
343		8
344		5
345		3
346		3
347		6
348		3
349		2
350		5
351		5
352		2
353		2
354		5
355		0
356		2
357		3
358		2
359		1
360		1
361		1
362		2
363		5
364		0
365		4
366		2
367		1
368		2
369		1
370		3
371		1
372		4
373		1
374		2
375		1
376		0
377		1
378		4
379		1
380		2
381		2
382		1
383		3
384		3
385		2
386		2
387		1
388		3
389		2
390		2
391		1
392		1
393		7
394		1
395		1
396		1
397		0
398		3
399		2
400		3
401		3
402		2
403		1
404		1
405		1
406		3
407		1
408		1
409		5
410		5
411		2
412		4
413		3
414		3
415		3
416		0
417		1
418		7
419		2
420		3
421		3
422		3
423		0
424		2
425		1
426		2
427		0
428		1
429		1
430		2
431		1
432		2
433		0
434		2
435		5
436		0
437		2
438		2
439		0
440		3
441		0
442		4
443		1
444		1
445		0
446		4
447		0
448		0
449		5
450		1
451		2
452		2
453		1
454		0
455		3
456		0
457		1
458		3
459		2
460		2
461		1
462		2
463		1
464		1
465		3
466		1
