Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.32
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 02:58:13
End Time:	April 15, 2020, 03:03:13
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	30	52	892	87	0	40
2	705	839	4312	3568	44	774

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		4
9		17
10		20
11		24
12		24
13		23
14		27
15		26
16		29
17		32
18		24
19		26
20		22
21		30
22		28
23		19
24		19
25		30
26		23
27		29
28		40
29		27
30		37
31		42
32		50
33		53
34		45
35		45
36		51
37		46
38		38
39		38
40		40
41		44
42		27
43		33
44		41
45		30
46		35
47		37
48		28
49		32
50		26
51		34
52		40
53		32
54		43
55		36
56		38
57		48
58		37
59		38
60		30
61		41
62		46
63		51
64		48
65		40
66		49
67		45
68		42
69		51
70		42
71		61
72		47
73		48
74		64
75		59
76		54
77		60
78		48
79		66
80		60
81		54
82		85
83		69
84		73
85		67
86		72
87		84
88		71
89		94
90		78
91		80
92		63
93		70
94		70
95		86
96		67
97		98
98		82
99		73
100		80
101		77
102		88
103		68
104		77
105		84
106		73
107		81
108		83
109		87
110		82
111		63
112		67
113		78
114		89
115		101
116		94
117		104
118		96
119		78
120		76
121		89
122		90
123		66
124		70
125		80
126		94
127		91
128		90
129		72
130		83
131		93
132		92
133		76
134		88
135		80
136		93
137		91
138		79
139		84
140		74
141		84
142		71
143		84
144		71
145		65
146		97
147		65
148		72
149		79
150		65
151		78
152		79
153		74
154		88
155		73
156		98
157		66
158		88
159		67
160		78
161		78
162		72
163		74
164		78
165		76
166		74
167		59
168		54
169		71
170		60
171		63
172		64
173		62
174		74
175		79
176		78
177		70
178		62
179		44
180		60
181		79
182		67
183		68
184		67
185		50
186		60
187		77
188		59
189		67
190		51
191		64
192		66
193		69
194		52
195		70
196		76
197		57
198		64
199		55
200		76
201		53
202		67
203		73
204		61
205		62
206		59
207		71
208		57
209		67
210		54
211		61
212		56
213		74
214		87
215		61
216		54
217		69
218		66
219		62
220		50
221		87
222		88
223		91
224		79
225		68
226		76
227		78
228		76
229		53
230		76
231		74
232		92
233		69
234		85
235		86
236		77
237		84
238		101
239		91
240		83
241		72
242		98
243		73
244		94
245		85
246		84
247		101
248		84
249		85
250		79
251		79
252		85
253		62
254		80
255		74
256		66
257		65
258		72
259		57
260		66
261		56
262		62
263		51
264		69
265		67
266		48
267		58
268		56
269		46
270		52
271		45
272		33
273		32
274		50
275		45
276		47
277		37
278		44
279		52
280		48
281		40
282		53
283		41
284		38
285		41
286		39
287		35
288		33
289		34
290		36
291		37
292		41
293		36
294		35
295		34
296		22
297		32
298		28
299		40
300		33
301		34
302		38
303		32
304		39
305		37
306		28
307		39
308		34
309		32
310		31
311		28
312		29
313		33
314		38
315		34
316		36
317		32
318		32
319		26
320		43
321		35
322		26
323		33
324		22
325		30
326		29
327		25
328		25
329		31
330		33
331		33
332		36
333		34
334		32
335		36
336		39
337		23
338		29
339		25
340		22
341		25
342		14
343		27
344		41
345		30
346		21
347		22
348		28
349		31
350		23
351		28
352		26
353		25
354		17
355		17
356		27
357		27
358		30
359		31
360		28
361		30
362		31
363		31
364		22
365		40
366		25
367		27
368		23
369		21
370		19
371		25
372		17
373		35
374		29
375		27
376		19
377		35
378		25
379		23
380		27
381		25
382		20
383		30
384		24
385		19
386		24
387		24
388		26
389		23
390		15
391		20
392		21
393		19
394		17
395		29
396		14
397		32
398		21
399		26
400		29
401		31
402		30
403		24
404		25
405		19
406		27
407		29
408		23
409		21
410		13
411		15
412		30
413		20
414		27
415		26
416		28
417		24
418		17
419		16
420		21
421		29
422		25
423		23
424		22
425		12
426		21
427		17
428		15
429		16
430		28
431		30
432		12
433		19
434		27
435		25
436		18
437		26
438		16
439		16
440		23
441		23
442		27
443		26
444		27
445		24
446		23
447		28
448		19
449		20
450		20
451		15
452		18
453		19
454		26
455		20
456		15
457		12
458		21
459		28
460		22
461		12
462		10
