Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.15
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 01:42:58
End Time:	April 15, 2020, 01:47:59
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	30	52	380	-1	3	41
2	705	839	251	115	4	764

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		1
9		7
10		9
11		14
12		13
13		13
14		14
15		10
16		16
17		8
18		6
19		8
20		14
21		16
22		15
23		13
24		11
25		11
26		15
27		19
28		13
29		12
30		14
31		17
32		17
33		11
34		20
35		21
36		13
37		21
38		14
39		14
40		13
41		15
42		17
43		18
44		15
45		16
46		15
47		20
48		14
49		16
50		15
51		23
52		21
53		16
54		27
55		16
56		18
57		15
58		26
59		21
60		23
61		22
62		22
63		35
64		26
65		24
66		28
67		22
68		29
69		34
70		33
71		30
72		36
73		40
74		42
75		27
76		31
77		37
78		31
79		45
80		44
81		44
82		44
83		48
84		50
85		62
86		31
87		50
88		59
89		58
90		50
91		47
92		66
93		57
94		57
95		57
96		49
97		56
98		58
99		53
100		65
101		63
102		51
103		64
104		55
105		53
106		52
107		56
108		62
109		51
110		55
111		45
112		73
113		54
114		66
115		54
116		57
117		48
118		66
119		50
120		36
121		49
122		45
123		51
124		43
125		52
126		65
127		56
128		54
129		52
130		52
131		51
132		42
133		63
134		58
135		56
136		49
137		64
138		68
139		36
140		52
141		38
142		45
143		37
144		59
145		55
146		59
147		51
148		49
149		47
150		40
151		60
152		57
153		54
154		44
155		43
156		56
157		63
158		40
159		52
160		58
161		54
162		51
163		39
164		40
165		44
166		49
167		36
168		64
169		43
170		25
171		36
172		38
173		48
174		44
175		51
176		42
177		47
178		33
179		51
180		31
181		41
182		38
183		34
184		40
185		33
186		42
187		34
188		37
189		41
190		32
191		33
192		42
193		31
194		27
195		32
196		36
197		32
198		32
199		41
200		36
201		25
202		46
203		38
204		32
205		29
206		26
207		31
208		39
209		31
210		36
211		29
212		31
213		26
214		32
215		18
216		32
217		36
218		39
219		33
220		22
221		35
222		31
223		26
224		28
225		30
226		24
227		33
228		35
229		33
230		27
231		33
232		29
233		28
234		26
235		26
236		28
237		40
238		34
239		28
240		32
241		36
242		12
243		23
244		22
245		20
246		19
247		30
248		26
249		20
250		30
251		16
252		21
253		28
254		24
255		31
256		20
257		22
258		22
259		27
260		14
261		30
262		26
263		24
264		24
265		23
266		16
267		17
268		24
269		28
270		27
271		11
272		21
273		22
274		21
275		14
276		19
277		21
278		24
279		12
280		20
281		20
282		23
283		16
284		22
285		18
286		17
287		17
288		24
289		28
290		21
291		16
292		26
293		16
294		21
295		18
296		13
297		20
298		12
299		11
300		18
301		19
302		16
303		14
304		14
305		16
306		21
307		18
308		16
309		13
310		17
311		12
312		16
313		10
314		19
315		16
316		19
317		12
318		15
319		16
320		18
321		15
322		15
323		10
324		12
325		11
326		7
327		17
328		9
329		9
330		14
331		12
332		16
333		9
334		8
335		9
336		13
337		7
338		9
339		13
340		13
341		10
342		8
343		12
344		8
345		12
346		11
347		9
348		14
349		9
350		10
351		15
352		6
353		11
354		8
355		3
356		7
357		6
358		8
359		7
360		13
361		10
362		10
363		10
364		19
365		6
366		12
367		8
368		12
369		8
370		7
371		13
372		8
373		9
374		9
375		13
376		14
377		4
378		8
379		5
380		15
381		6
382		8
383		10
384		6
385		5
386		14
387		6
388		4
389		12
390		16
391		5
392		7
393		13
394		11
395		5
396		11
397		5
398		10
399		11
400		7
401		4
402		9
403		4
404		7
405		3
406		7
407		11
408		8
409		5
410		10
411		7
412		8
413		6
414		5
415		7
416		8
417		8
418		11
419		7
420		7
421		9
422		7
423		10
424		9
425		4
426		6
427		9
428		3
429		13
430		9
431		1
432		6
433		6
434		7
435		13
436		8
437		8
438		6
439		12
440		4
441		8
442		6
443		5
444		9
445		8
446		6
447		5
448		6
449		4
450		6
451		8
452		5
453		8
454		3
455		2
456		4
457		5
458		4
459		9
460		7
461		3
462		3
