Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.35
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 01:15:55
End Time:	April 15, 2020, 01:20:56
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	741	814	828	642	7	771

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		19
9		40
10		54
11		51
12		55
13		61
14		52
15		79
16		79
17		72
18		73
19		76
20		87
21		84
22		59
23		73
24		71
25		79
26		70
27		68
28		96
29		80
30		70
31		81
32		94
33		107
34		94
35		99
36		103
37		103
38		144
39		139
40		101
41		149
42		133
43		141
44		127
45		135
46		140
47		151
48		148
49		136
50		151
51		160
52		166
53		164
54		158
55		171
56		148
57		176
58		160
59		147
60		132
61		153
62		150
63		162
64		150
65		130
66		176
67		152
68		152
69		153
70		169
71		147
72		158
73		159
74		177
75		156
76		173
77		163
78		177
79		163
80		165
81		135
82		156
83		146
84		152
85		153
86		134
87		152
88		163
89		159
90		146
91		152
92		141
93		141
94		137
95		139
96		141
97		144
98		139
99		145
100		150
101		138
102		154
103		168
104		155
105		167
106		176
107		149
108		195
109		176
110		162
111		183
112		175
113		171
114		191
115		182
116		172
117		166
118		168
119		147
120		136
121		144
122		136
123		131
124		121
125		116
126		99
127		121
128		100
129		106
130		102
131		106
132		102
133		99
134		106
135		93
136		102
137		113
138		89
139		103
140		89
141		95
142		96
143		94
144		94
145		80
146		111
147		113
148		85
149		85
150		102
151		94
152		79
153		87
154		82
155		79
156		81
157		83
158		63
159		75
160		81
161		68
162		70
163		69
164		66
165		66
166		66
167		67
168		73
169		72
170		59
171		89
172		61
173		63
174		65
175		57
176		55
177		47
178		47
179		47
180		50
181		63
182		60
183		38
184		51
185		54
186		59
187		53
188		41
189		61
190		55
191		59
192		46
193		56
194		54
195		54
196		49
197		46
198		48
199		40
200		31
201		48
202		37
203		40
204		39
205		41
206		42
207		33
208		40
209		34
210		36
211		27
212		33
213		37
214		38
215		32
216		37
217		31
218		34
219		34
220		28
221		29
222		26
223		31
224		34
225		34
226		33
227		31
228		28
229		24
230		28
231		29
232		22
233		23
234		23
235		28
236		26
237		27
238		17
239		16
240		23
241		31
242		23
243		18
244		31
245		21
246		20
247		31
248		21
249		25
250		28
251		18
252		23
253		28
254		20
255		24
256		19
257		18
258		30
259		29
260		34
261		19
262		27
263		15
264		24
265		22
266		27
267		30
268		21
269		21
270		20
271		23
272		22
273		22
274		15
275		14
276		20
277		19
278		27
279		20
280		21
281		24
282		31
283		26
284		29
285		20
286		17
287		24
288		34
289		19
290		20
291		36
292		34
293		44
294		51
295		44
296		37
297		59
298		63
299		50
300		69
301		83
302		89
303		86
304		95
305		101
306		105
307		112
308		119
309		132
310		146
311		125
312		149
313		153
314		173
315		162
316		159
317		160
318		186
319		156
320		128
321		145
322		139
323		145
324		124
325		125
326		95
327		125
328		96
329		96
330		66
331		81
332		67
333		57
334		47
335		47
336		42
337		39
338		33
339		27
340		25
341		19
342		29
343		16
344		16
345		14
346		16
347		9
348		14
349		10
350		13
351		10
352		8
353		15
354		19
355		12
356		11
357		12
358		11
359		10
360		5
361		12
362		13
363		11
364		7
365		11
366		9
367		6
368		3
369		11
370		10
371		11
372		10
373		9
374		16
375		4
376		11
377		12
378		10
379		11
380		10
381		10
382		9
383		13
384		13
385		11
386		13
387		5
388		9
389		7
390		14
391		6
392		10
393		7
394		10
395		13
396		6
397		13
398		14
399		5
400		7
401		7
402		12
403		9
404		12
405		4
406		12
407		6
408		7
409		14
410		8
411		11
412		3
413		9
414		9
415		7
416		13
417		7
418		4
419		10
420		11
421		12
422		14
423		12
424		5
425		13
426		10
427		6
428		5
429		7
430		10
431		7
432		7
433		6
434		8
435		9
436		8
437		7
438		9
439		11
440		7
441		10
442		8
443		5
444		4
445		4
446		11
447		8
448		7
449		6
450		8
451		9
452		5
453		7
454		8
455		5
456		8
457		6
458		8
459		5
460		11
461		10
462		10
463		7
464		10
465		4
466		4
