Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.15
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 10:47:21
End Time:	April 15, 2020, 10:52:21
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	741	814	69	-6	2	773

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		11
9		14
10		17
11		29
12		21
13		18
14		26
15		36
16		36
17		34
18		40
19		27
20		29
21		27
22		30
23		33
24		31
25		40
26		48
27		44
28		50
29		37
30		38
31		62
32		61
33		56
34		72
35		60
36		62
37		80
38		82
39		86
40		90
41		82
42		89
43		105
44		86
45		87
46		108
47		105
48		113
49		95
50		107
51		93
52		123
53		104
54		98
55		93
56		89
57		126
58		95
59		87
60		87
61		107
62		107
63		113
64		98
65		95
66		113
67		124
68		87
69		116
70		123
71		100
72		112
73		108
74		98
75		100
76		99
77		103
78		88
79		104
80		82
81		107
82		89
83		84
84		88
85		90
86		65
87		77
88		88
89		92
90		77
91		87
92		69
93		79
94		76
95		68
96		70
97		70
98		69
99		79
100		75
101		69
102		62
103		59
104		63
105		65
106		61
107		59
108		72
109		65
110		53
111		57
112		49
113		56
114		55
115		60
116		50
117		65
118		65
119		58
120		48
121		59
122		49
123		53
124		48
125		44
126		48
127		49
128		46
129		44
130		52
131		51
132		43
133		49
134		44
135		35
136		43
137		31
138		34
139		40
140		49
141		37
142		34
143		37
144		39
145		36
146		33
147		45
148		46
149		46
150		35
151		41
152		38
153		33
154		55
155		35
156		33
157		18
158		27
159		22
160		22
161		31
162		34
163		28
164		32
165		27
166		30
167		27
168		22
169		22
170		26
171		22
172		28
173		24
174		25
175		29
176		21
177		24
178		18
179		29
180		27
181		28
182		24
183		22
184		13
185		30
186		14
187		18
188		15
189		16
190		22
191		23
192		19
193		15
194		18
195		17
196		22
197		14
198		23
199		19
200		15
201		16
202		11
203		13
204		12
205		14
206		21
207		19
208		15
209		15
210		21
211		15
212		15
213		21
214		12
215		12
216		15
217		16
218		15
219		14
220		12
221		13
222		16
223		13
224		16
225		13
226		11
227		16
228		9
229		14
230		13
231		12
232		17
233		7
234		12
235		10
236		12
237		14
238		10
239		5
240		10
241		9
242		8
243		11
244		11
245		6
246		8
247		7
248		10
249		13
250		18
251		6
252		10
253		11
254		12
255		6
256		11
257		11
258		16
259		9
260		14
261		8
262		10
263		11
264		10
265		9
266		11
267		8
268		6
269		6
270		7
271		5
272		10
273		8
274		4
275		4
276		6
277		3
278		9
279		11
280		8
281		5
282		9
283		7
284		6
285		4
286		2
287		4
288		7
289		5
290		7
291		6
292		7
293		5
294		6
295		4
296		6
297		10
298		8
299		3
300		9
301		12
302		4
303		11
304		7
305		7
306		8
307		4
308		12
309		2
310		8
311		8
312		8
313		9
314		11
315		8
316		2
317		9
318		5
319		5
320		7
321		10
322		9
323		8
324		3
325		10
326		3
327		6
328		3
329		8
330		2
331		7
332		3
333		5
334		6
335		3
336		6
337		4
338		8
339		5
340		9
341		7
342		4
343		10
344		7
345		3
346		3
347		6
348		4
349		5
350		4
351		4
352		3
353		2
354		6
355		3
356		4
357		5
358		8
359		3
360		2
361		6
362		6
363		6
364		6
365		5
366		6
367		9
368		5
369		4
370		4
371		5
372		3
373		8
374		2
375		4
376		9
377		4
378		5
379		3
380		8
381		7
382		5
383		6
384		4
385		3
386		10
387		1
388		1
389		6
390		4
391		5
392		3
393		4
394		4
395		3
396		4
397		3
398		6
399		1
400		3
401		4
402		7
403		4
404		3
405		11
406		4
407		8
408		9
409		6
410		5
411		8
412		3
413		7
414		5
415		4
416		5
417		5
418		3
419		3
420		5
421		2
422		6
423		6
424		1
425		2
426		5
427		1
428		3
429		2
430		0
431		5
432		3
433		6
434		3
435		1
436		2
437		0
438		4
439		5
440		4
441		2
442		1
443		2
444		2
445		2
446		2
447		1
448		2
449		2
450		2
451		2
452		3
453		3
454		0
455		1
456		1
457		3
458		2
459		2
460		2
461		4
462		1
463		2
464		1
465		5
