Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.82
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 12:25:19
End Time:	April 15, 2020, 12:30:20
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	3050	1744	25	723
2	250	313	19639	16918	24	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		2
16		6
17		10
18		153
19		167
20		212
21		196
22		202
23		232
24		193
25		212
26		193
27		226
28		269
29		250
30		274
31		277
32		252
33		268
34		297
35		292
36		290
37		284
38		310
39		322
40		278
41		324
42		303
43		305
44		286
45		361
46		301
47		310
48		342
49		295
50		315
51		307
52		354
53		329
54		334
55		336
56		331
57		320
58		281
59		340
60		313
61		349
62		300
63		325
64		300
65		287
66		307
67		330
68		303
69		319
70		339
71		313
72		292
73		297
74		318
75		320
76		290
77		302
78		283
79		302
80		323
81		341
82		320
83		332
84		339
85		343
86		340
87		345
88		322
89		346
90		367
91		368
92		401
93		426
94		409
95		415
96		347
97		379
98		348
99		375
100		370
101		346
102		362
103		321
104		286
105		307
106		290
107		306
108		299
109		299
110		273
111		305
112		285
113		291
114		284
115		306
116		267
117		304
118		281
119		258
120		286
121		285
122		283
123		250
124		265
125		265
126		240
127		253
128		216
129		273
130		251
131		234
132		232
133		276
134		223
135		222
136		237
137		233
138		233
139		210
140		199
141		212
142		208
143		208
144		218
145		190
146		181
147		170
148		196
149		192
150		204
151		188
152		212
153		175
154		205
155		182
156		184
157		184
158		196
159		181
160		179
161		198
162		176
163		166
164		175
165		188
166		193
167		182
168		169
169		158
170		200
171		163
172		156
173		156
174		158
175		142
176		140
177		158
178		130
179		139
180		146
181		126
182		139
183		126
184		110
185		108
186		114
187		112
188		114
189		87
190		113
191		92
192		107
193		98
194		78
195		74
196		88
197		79
198		66
199		90
200		63
201		85
202		62
203		72
204		96
205		58
206		70
207		59
208		63
209		66
210		65
211		82
212		51
213		74
214		55
215		63
216		50
217		59
218		67
219		59
220		44
221		62
222		62
223		66
224		52
225		54
226		58
227		47
228		61
229		47
230		49
231		57
232		44
233		45
234		63
235		40
236		45
237		42
238		45
239		46
240		56
241		53
242		47
243		51
244		51
245		38
246		44
247		44
248		71
249		67
250		54
251		59
252		69
253		63
254		87
255		88
256		94
257		109
258		110
259		142
260		168
261		178
262		203
263		238
264		261
265		288
266		335
267		389
268		410
269		492
270		540
271		531
272		563
273		623
274		651
275		662
276		716
277		704
278		784
279		722
280		747
281		729
282		661
283		662
284		655
285		622
286		568
287		534
288		518
289		449
290		403
291		372
292		341
293		302
294		248
295		207
296		184
297		160
298		147
299		132
300		118
301		83
302		69
303		56
304		65
305		42
306		36
307		38
308		33
309		30
310		19
311		25
312		20
313		31
314		27
315		28
316		29
317		24
318		26
319		27
320		29
321		34
322		17
323		20
324		25
325		36
326		29
327		29
328		24
329		30
330		23
331		31
332		31
333		22
334		23
335		18
336		26
337		17
338		22
339		14
340		14
341		17
342		29
343		26
344		16
345		26
346		26
347		26
348		20
349		24
350		33
351		15
352		30
353		30
354		27
355		15
356		22
357		24
358		22
359		22
360		30
361		25
362		22
363		23
364		18
365		22
366		23
367		24
368		29
369		34
370		23
371		24
372		23
373		17
374		23
375		30
376		20
377		23
378		29
379		23
380		26
381		27
382		20
383		21
384		20
385		23
386		35
387		22
388		28
389		23
390		29
391		30
392		23
393		22
394		20
395		16
396		31
397		19
398		24
399		21
400		26
401		21
402		18
403		22
404		21
405		24
406		17
407		16
408		29
409		24
410		21
411		31
412		26
413		26
414		24
415		26
416		28
417		28
418		29
419		31
420		16
421		26
422		21
423		25
424		23
425		24
426		21
427		20
428		20
429		30
430		30
431		20
432		23
433		24
434		26
435		23
436		33
437		23
438		22
439		32
440		17
441		22
442		18
443		23
444		24
445		11
446		24
447		23
448		22
449		23
450		28
451		18
452		25
453		24
454		25
455		30
456		18
457		26
458		24
459		23
460		36
461		25
