Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.8
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 03:43:50
End Time:	April 15, 2020, 03:48:51
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	2870	1564	34	722
2	250	313	18308	15616	23	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		1
16		1
17		8
18		113
19		169
20		196
21		194
22		210
23		212
24		185
25		218
26		221
27		214
28		228
29		239
30		270
31		275
32		286
33		258
34		243
35		276
36		287
37		289
38		279
39		283
40		301
41		272
42		301
43		294
44		303
45		294
46		290
47		297
48		281
49		282
50		328
51		289
52		286
53		343
54		310
55		294
56		314
57		312
58		287
59		286
60		331
61		338
62		331
63		297
64		313
65		326
66		306
67		303
68		306
69		299
70		319
71		299
72		307
73		294
74		307
75		338
76		337
77		303
78		303
79		302
80		304
81		290
82		320
83		314
84		319
85		313
86		364
87		312
88		342
89		361
90		373
91		371
92		390
93		375
94		408
95		348
96		355
97		355
98		352
99		367
100		342
101		350
102		287
103		334
104		288
105		300
106		287
107		274
108		278
109		278
110		287
111		295
112		260
113		301
114		281
115		278
116		298
117		283
118		297
119		284
120		255
121		271
122		225
123		242
124		248
125		268
126		220
127		235
128		252
129		242
130		234
131		210
132		230
133		238
134		239
135		215
136		208
137		209
138		223
139		204
140		220
141		213
142		186
143		171
144		213
145		168
146		176
147		177
148		201
149		206
150		185
151		174
152		206
153		177
154		180
155		180
156		176
157		193
158		166
159		179
160		167
161		153
162		182
163		166
164		147
165		176
166		170
167		166
168		162
169		154
170		169
171		134
172		173
173		135
174		150
175		164
176		147
177		148
178		127
179		127
180		115
181		110
182		117
183		130
184		125
185		112
186		87
187		107
188		110
189		97
190		86
191		99
192		93
193		88
194		71
195		98
196		77
197		83
198		92
199		75
200		87
201		80
202		70
203		78
204		76
205		50
206		61
207		64
208		53
209		81
210		60
211		71
212		59
213		61
214		52
215		54
216		56
217		63
218		52
219		54
220		68
221		41
222		60
223		46
224		56
225		61
226		53
227		49
228		52
229		51
230		58
231		52
232		52
233		37
234		53
235		55
236		48
237		65
238		59
239		50
240		47
241		52
242		56
243		68
244		73
245		51
246		56
247		53
248		52
249		62
250		62
251		57
252		67
253		69
254		80
255		103
256		99
257		100
258		108
259		144
260		163
261		161
262		225
263		246
264		265
265		300
266		337
267		363
268		397
269		474
270		488
271		535
272		551
273		624
274		639
275		610
276		705
277		704
278		680
279		711
280		671
281		668
282		648
283		623
284		560
285		561
286		518
287		442
288		429
289		379
290		351
291		310
292		282
293		247
294		243
295		211
296		178
297		122
298		99
299		97
300		75
301		89
302		58
303		61
304		46
305		37
306		41
307		36
308		27
309		24
310		26
311		25
312		35
313		22
314		19
315		20
316		24
317		18
318		23
319		31
320		25
321		26
322		29
323		27
324		18
325		26
326		22
327		31
328		26
329		31
330		21
331		24
332		23
333		16
334		17
335		16
336		23
337		22
338		18
339		26
340		24
341		26
342		32
343		21
344		23
345		16
346		23
347		24
348		17
349		16
350		23
351		19
352		32
353		25
354		34
355		22
356		25
357		29
358		24
359		20
360		27
361		26
362		27
363		30
364		28
365		30
366		22
367		26
368		27
369		33
370		25
371		19
372		26
373		21
374		30
375		20
376		25
377		23
378		30
379		21
380		22
381		20
382		15
383		31
384		25
385		24
386		22
387		15
388		23
389		28
390		19
391		29
392		20
393		17
394		16
395		25
396		17
397		30
398		16
399		26
400		23
401		32
402		26
403		25
404		21
405		21
406		22
407		35
408		22
409		23
410		28
411		20
412		23
413		13
414		27
415		25
416		27
417		26
418		20
419		22
420		20
421		26
422		16
423		28
424		19
425		22
426		25
427		22
428		18
429		16
430		25
431		22
432		28
433		17
434		25
435		30
436		21
437		18
438		27
439		25
440		17
441		17
442		32
443		21
444		20
445		21
446		23
447		29
448		21
449		25
450		19
451		24
452		27
453		25
454		23
455		20
456		22
457		28
458		26
459		22
460		18
461		23
