Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.84
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 02:58:39
End Time:	April 15, 2020, 03:03:40
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	3089	1784	20	721
2	250	313	20041	17224	25	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		1
12		0
13		0
14		0
15		3
16		2
17		13
18		150
19		184
20		161
21		214
22		207
23		213
24		204
25		212
26		236
27		214
28		243
29		235
30		236
31		250
32		251
33		280
34		268
35		263
36		259
37		290
38		292
39		322
40		267
41		302
42		301
43		301
44		290
45		289
46		324
47		332
48		315
49		340
50		325
51		353
52		331
53		300
54		330
55		332
56		311
57		379
58		317
59		357
60		328
61		301
62		271
63		284
64		289
65		338
66		273
67		308
68		336
69		341
70		313
71		308
72		349
73		323
74		304
75		319
76		281
77		337
78		283
79		318
80		331
81		322
82		338
83		371
84		349
85		343
86		326
87		335
88		365
89		328
90		409
91		388
92		412
93		413
94		403
95		381
96		370
97		384
98		355
99		345
100		372
101		346
102		308
103		319
104		301
105		282
106		340
107		271
108		314
109		291
110		287
111		272
112		314
113		260
114		283
115		284
116		262
117		287
118		281
119		299
120		315
121		276
122		278
123		279
124		248
125		286
126		265
127		265
128		250
129		267
130		242
131		271
132		240
133		239
134		238
135		222
136		209
137		231
138		207
139		198
140		220
141		199
142		197
143		218
144		217
145		201
146		192
147		197
148		186
149		207
150		202
151		191
152		185
153		169
154		189
155		207
156		190
157		190
158		225
159		181
160		190
161		188
162		177
163		183
164		187
165		195
166		175
167		178
168		171
169		187
170		180
171		173
172		160
173		161
174		171
175		163
176		149
177		145
178		122
179		167
180		129
181		135
182		109
183		121
184		107
185		115
186		126
187		88
188		99
189		111
190		80
191		88
192		91
193		79
194		88
195		84
196		83
197		99
198		81
199		75
200		77
201		78
202		75
203		83
204		55
205		82
206		75
207		77
208		70
209		68
210		69
211		73
212		68
213		64
214		59
215		57
216		58
217		53
218		51
219		52
220		60
221		62
222		64
223		59
224		55
225		58
226		47
227		63
228		46
229		54
230		52
231		46
232		55
233		60
234		47
235		53
236		68
237		47
238		50
239		56
240		44
241		30
242		50
243		45
244		52
245		58
246		60
247		56
248		51
249		53
250		58
251		57
252		75
253		84
254		85
255		87
256		112
257		117
258		113
259		164
260		176
261		190
262		216
263		238
264		269
265		325
266		379
267		425
268		446
269		468
270		497
271		594
272		566
273		687
274		670
275		756
276		673
277		768
278		724
279		754
280		755
281		745
282		724
283		718
284		640
285		641
286		564
287		528
288		477
289		438
290		408
291		314
292		327
293		266
294		275
295		209
296		175
297		174
298		114
299		78
300		96
301		95
302		65
303		54
304		58
305		52
306		32
307		42
308		26
309		38
310		26
311		36
312		39
313		39
314		21
315		22
316		29
317		26
318		24
319		26
320		26
321		22
322		29
323		29
324		29
325		20
326		21
327		39
328		29
329		28
330		36
331		28
332		27
333		24
334		29
335		29
336		24
337		24
338		13
339		18
340		32
341		20
342		22
343		23
344		22
345		29
346		22
347		24
348		20
349		30
350		23
351		27
352		22
353		24
354		23
355		27
356		28
357		27
358		30
359		25
360		32
361		25
362		32
363		30
364		31
365		20
366		27
367		23
368		19
369		17
370		34
371		23
372		18
373		19
374		23
375		23
376		21
377		29
378		30
379		28
380		23
381		18
382		22
383		30
384		19
385		25
386		20
387		17
388		26
389		19
390		24
391		26
392		16
393		18
394		27
395		17
396		29
397		17
398		28
399		28
400		21
401		25
402		27
403		17
404		24
405		23
406		26
407		18
408		21
409		24
410		24
411		31
412		15
413		31
414		22
415		13
416		34
417		23
418		19
419		23
420		23
421		26
422		20
423		14
424		24
425		27
426		33
427		24
428		28
429		24
430		30
431		26
432		22
433		28
434		25
435		22
436		24
437		28
438		23
439		30
440		12
441		24
442		25
443		31
444		26
445		23
446		25
447		25
448		24
449		27
450		16
451		24
452		18
453		27
454		25
455		29
456		26
457		28
458		19
459		25
460		25
461		25
