Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.84
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 12:47:05
End Time:	April 15, 2020, 12:52:06
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	2958	1565	26	722
2	250	313	19752	17063	24	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		1
14		0
15		1
16		2
17		20
18		163
19		177
20		202
21		190
22		214
23		213
24		190
25		207
26		222
27		200
28		223
29		255
30		228
31		279
32		267
33		274
34		304
35		308
36		259
37		290
38		329
39		290
40		325
41		311
42		261
43		304
44		341
45		348
46		361
47		306
48		322
49		292
50		319
51		341
52		287
53		305
54		348
55		338
56		311
57		333
58		340
59		329
60		354
61		311
62		330
63		323
64		310
65		293
66		299
67		329
68		305
69		337
70		287
71		324
72		291
73		339
74		292
75		329
76		320
77		336
78		314
79		313
80		280
81		319
82		328
83		325
84		335
85		370
86		331
87		340
88		347
89		331
90		359
91		355
92		386
93		440
94		410
95		367
96		376
97		395
98		380
99		392
100		353
101		336
102		334
103		306
104		298
105		321
106		273
107		325
108		297
109		282
110		308
111		329
112		304
113		297
114		299
115		298
116		272
117		284
118		305
119		277
120		300
121		290
122		295
123		299
124		312
125		273
126		254
127		275
128		287
129		277
130		263
131		249
132		212
133		234
134		243
135		239
136		244
137		223
138		201
139		219
140		195
141		193
142		189
143		172
144		188
145		220
146		202
147		201
148		187
149		212
150		215
151		187
152		199
153		196
154		188
155		199
156		187
157		189
158		208
159		179
160		197
161		183
162		196
163		178
164		175
165		185
166		205
167		185
168		156
169		204
170		185
171		187
172		167
173		145
174		158
175		150
176		147
177		148
178		139
179		140
180		129
181		120
182		149
183		113
184		92
185		120
186		104
187		119
188		115
189		109
190		98
191		75
192		69
193		95
194		92
195		95
196		96
197		90
198		66
199		77
200		76
201		79
202		81
203		67
204		61
205		76
206		63
207		68
208		71
209		77
210		56
211		60
212		71
213		54
214		64
215		62
216		62
217		82
218		53
219		51
220		42
221		42
222		41
223		45
224		62
225		48
226		64
227		56
228		52
229		57
230		49
231		56
232		56
233		52
234		47
235		60
236		68
237		36
238		56
239		45
240		47
241		48
242		53
243		54
244		42
245		35
246		45
247		40
248		57
249		52
250		45
251		67
252		65
253		78
254		64
255		86
256		97
257		105
258		124
259		142
260		154
261		157
262		228
263		219
264		273
265		313
266		345
267		401
268		453
269		475
270		527
271		556
272		596
273		651
274		699
275		671
276		714
277		716
278		760
279		766
280		725
281		715
282		727
283		691
284		667
285		607
286		571
287		531
288		484
289		436
290		430
291		331
292		329
293		278
294		233
295		228
296		179
297		156
298		126
299		101
300		96
301		83
302		75
303		57
304		57
305		45
306		38
307		41
308		27
309		22
310		19
311		31
312		29
313		40
314		24
315		34
316		28
317		26
318		34
319		29
320		26
321		32
322		30
323		30
324		15
325		23
326		21
327		25
328		19
329		22
330		28
331		25
332		21
333		31
334		39
335		34
336		32
337		20
338		25
339		33
340		16
341		28
342		20
343		26
344		21
345		34
346		31
347		23
348		18
349		23
350		25
351		22
352		23
353		23
354		30
355		23
356		25
357		16
358		27
359		29
360		21
361		27
362		32
363		28
364		26
365		23
366		24
367		25
368		26
369		17
370		31
371		18
372		22
373		21
374		22
375		28
376		27
377		30
378		27
379		23
380		28
381		24
382		32
383		22
384		29
385		26
386		22
387		31
388		28
389		18
390		30
391		18
392		26
393		26
394		28
395		27
396		24
397		19
398		20
399		18
400		30
401		24
402		32
403		26
404		27
405		25
406		22
407		20
408		22
409		25
410		25
411		17
412		19
413		13
414		20
415		23
416		24
417		20
418		24
419		19
420		31
421		21
422		22
423		17
424		31
425		24
426		14
427		23
428		28
429		16
430		22
431		23
432		33
433		27
434		21
435		18
436		26
437		32
438		25
439		26
440		26
441		27
442		27
443		30
444		25
445		21
446		24
447		31
448		22
449		26
450		25
451		17
452		20
453		19
454		17
455		23
456		24
457		22
458		27
459		32
460		22
461		20
