Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.83
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 12:41:26
End Time:	April 15, 2020, 12:46:27
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	2947	1598	28	722
2	250	313	19966	17213	25	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		1
14		1
15		2
16		4
17		3
18		157
19		164
20		180
21		219
22		223
23		208
24		225
25		225
26		236
27		238
28		244
29		240
30		250
31		270
32		256
33		260
34		287
35		272
36		280
37		269
38		309
39		304
40		283
41		319
42		332
43		292
44		306
45		308
46		305
47		323
48		328
49		296
50		291
51		298
52		290
53		314
54		311
55		313
56		331
57		317
58		308
59		324
60		298
61		329
62		353
63		322
64		297
65		332
66		344
67		298
68		318
69		300
70		341
71		305
72		317
73		307
74		341
75		309
76		298
77		323
78		290
79		293
80		293
81		327
82		304
83		302
84		301
85		300
86		335
87		329
88		367
89		364
90		382
91		369
92		377
93		414
94		379
95		405
96		362
97		385
98		394
99		358
100		347
101		325
102		330
103		328
104		302
105		293
106		271
107		307
108		284
109		298
110		279
111		290
112		316
113		294
114		271
115		306
116		313
117		311
118		277
119		319
120		301
121		300
122		280
123		268
124		252
125		286
126		230
127		218
128		252
129		260
130		237
131		246
132		233
133		244
134		271
135		228
136		226
137		202
138		211
139		199
140		216
141		249
142		212
143		221
144		197
145		218
146		199
147		192
148		196
149		222
150		207
151		195
152		200
153		200
154		184
155		190
156		199
157		199
158		192
159		219
160		192
161		202
162		199
163		197
164		192
165		190
166		173
167		199
168		161
169		170
170		162
171		158
172		168
173		167
174		145
175		176
176		151
177		152
178		158
179		153
180		159
181		145
182		121
183		137
184		119
185		124
186		122
187		118
188		105
189		96
190		120
191		89
192		81
193		86
194		77
195		73
196		80
197		73
198		99
199		80
200		65
201		58
202		72
203		82
204		68
205		86
206		68
207		61
208		78
209		61
210		62
211		61
212		60
213		74
214		51
215		74
216		60
217		50
218		66
219		53
220		53
221		57
222		58
223		52
224		56
225		47
226		52
227		43
228		60
229		50
230		51
231		55
232		47
233		55
234		59
235		52
236		49
237		51
238		62
239		53
240		52
241		34
242		56
243		48
244		39
245		61
246		41
247		44
248		51
249		47
250		45
251		75
252		49
253		75
254		68
255		91
256		104
257		100
258		154
259		138
260		169
261		188
262		239
263		272
264		267
265		322
266		352
267		419
268		437
269		487
270		539
271		531
272		585
273		699
274		697
275		668
276		720
277		730
278		738
279		786
280		738
281		732
282		764
283		670
284		634
285		637
286		557
287		571
288		506
289		442
290		410
291		349
292		315
293		264
294		223
295		221
296		186
297		138
298		113
299		107
300		87
301		78
302		54
303		65
304		56
305		46
306		45
307		29
308		32
309		32
310		24
311		31
312		34
313		32
314		31
315		27
316		30
317		20
318		26
319		32
320		25
321		23
322		19
323		26
324		32
325		22
326		34
327		22
328		24
329		34
330		38
331		20
332		19
333		39
334		25
335		21
336		20
337		29
338		24
339		19
340		18
341		15
342		29
343		25
344		23
345		20
346		20
347		34
348		29
349		27
350		22
351		25
352		23
353		38
354		22
355		25
356		30
357		17
358		26
359		27
360		28
361		23
362		25
363		34
364		33
365		39
366		29
367		23
368		21
369		26
370		25
371		38
372		20
373		30
374		17
375		27
376		21
377		20
378		28
379		32
380		17
381		21
382		26
383		19
384		18
385		23
386		23
387		28
388		18
389		18
390		23
391		20
392		21
393		24
394		23
395		23
396		9
397		19
398		21
399		19
400		30
401		26
402		14
403		23
404		23
405		19
406		26
407		17
408		25
409		29
410		22
411		18
412		16
413		28
414		21
415		27
416		27
417		27
418		28
419		26
420		23
421		26
422		25
423		23
424		26
425		26
426		16
427		30
428		20
429		30
430		30
431		26
432		25
433		18
434		27
435		19
436		23
437		24
438		20
439		28
440		35
441		22
442		21
443		23
444		34
445		16
446		28
447		25
448		28
449		28
450		22
451		36
452		19
453		26
454		26
455		21
456		20
457		19
458		34
459		32
460		23
461		38
