Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.87
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 04:19:22
End Time:	April 15, 2020, 04:24:23
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	3043	1606	32	722
2	250	313	19856	17199	24	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		3
16		3
17		13
18		145
19		174
20		174
21		212
22		235
23		210
24		206
25		217
26		240
27		222
28		254
29		246
30		273
31		293
32		264
33		305
34		267
35		299
36		281
37		314
38		338
39		321
40		321
41		306
42		278
43		339
44		297
45		328
46		271
47		335
48		311
49		326
50		349
51		330
52		340
53		346
54		312
55		342
56		336
57		334
58		358
59		327
60		330
61		344
62		340
63		300
64		337
65		344
66		317
67		329
68		323
69		332
70		344
71		327
72		345
73		324
74		377
75		311
76		313
77		330
78		320
79		340
80		362
81		310
82		342
83		349
84		332
85		354
86		318
87		369
88		356
89		412
90		367
91		368
92		397
93		415
94		414
95		395
96		374
97		396
98		398
99		387
100		340
101		352
102		325
103		355
104		334
105		314
106		311
107		321
108		308
109		309
110		324
111		277
112		294
113		284
114		328
115		267
116		311
117		306
118		311
119		303
120		274
121		302
122		308
123		260
124		320
125		262
126		271
127		255
128		258
129		255
130		245
131		283
132		265
133		248
134		234
135		251
136		253
137		235
138		216
139		242
140		235
141		208
142		239
143		242
144		236
145		217
146		210
147		212
148		211
149		212
150		211
151		218
152		200
153		225
154		214
155		179
156		209
157		196
158		228
159		205
160		193
161		202
162		192
163		196
164		192
165		198
166		212
167		215
168		222
169		197
170		180
171		196
172		143
173		184
174		161
175		160
176		156
177		159
178		167
179		139
180		151
181		131
182		150
183		139
184		132
185		97
186		122
187		100
188		109
189		119
190		100
191		85
192		89
193		101
194		96
195		101
196		100
197		94
198		95
199		78
200		82
201		79
202		91
203		82
204		87
205		77
206		76
207		77
208		69
209		74
210		85
211		62
212		67
213		71
214		72
215		56
216		66
217		60
218		76
219		65
220		79
221		57
222		48
223		53
224		59
225		44
226		57
227		55
228		73
229		73
230		59
231		61
232		72
233		54
234		53
235		58
236		69
237		54
238		66
239		54
240		56
241		46
242		52
243		39
244		49
245		60
246		53
247		43
248		50
249		59
250		59
251		58
252		67
253		80
254		81
255		89
256		100
257		117
258		119
259		163
260		173
261		202
262		196
263		246
264		295
265		361
266		371
267		369
268		463
269		478
270		530
271		550
272		587
273		651
274		659
275		643
276		707
277		713
278		685
279		733
280		780
281		690
282		699
283		687
284		674
285		625
286		582
287		573
288		503
289		459
290		432
291		338
292		320
293		246
294		233
295		196
296		199
297		168
298		117
299		110
300		91
301		87
302		78
303		68
304		48
305		38
306		43
307		37
308		36
309		31
310		30
311		35
312		29
313		29
314		22
315		30
316		25
317		26
318		39
319		27
320		13
321		29
322		25
323		25
324		26
325		27
326		29
327		20
328		22
329		22
330		37
331		19
332		25
333		32
334		33
335		29
336		18
337		29
338		22
339		24
340		27
341		23
342		25
343		33
344		30
345		22
346		26
347		24
348		23
349		28
350		32
351		20
352		22
353		24
354		28
355		29
356		20
357		24
358		25
359		28
360		21
361		27
362		24
363		24
364		19
365		32
366		24
367		25
368		28
369		22
370		24
371		18
372		26
373		30
374		35
375		26
376		19
377		26
378		30
379		31
380		19
381		27
382		25
383		29
384		19
385		28
386		25
387		17
388		21
389		16
390		21
391		23
392		22
393		24
394		26
395		25
396		17
397		27
398		22
399		31
400		21
401		34
402		18
403		31
404		22
405		25
406		24
407		16
408		20
409		19
410		25
411		33
412		28
413		14
414		19
415		19
416		28
417		23
418		26
419		17
420		30
421		23
422		19
423		22
424		25
425		25
426		30
427		20
428		26
429		29
430		36
431		33
432		22
433		19
434		27
435		28
436		28
437		28
438		33
439		27
440		24
441		27
442		25
443		25
444		26
445		28
446		29
447		31
448		14
449		24
450		24
451		22
452		18
453		28
454		23
455		24
456		30
457		19
458		16
459		15
460		33
461		26
