Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.84
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 03:17:52
End Time:	April 15, 2020, 03:22:53
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	3049	1569	24	721
2	250	313	19658	17128	25	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		1
14		1
15		2
16		3
17		11
18		162
19		154
20		180
21		181
22		203
23		232
24		237
25		212
26		223
27		221
28		247
29		230
30		253
31		251
32		265
33		280
34		284
35		286
36		297
37		291
38		269
39		303
40		324
41		328
42		300
43		318
44		288
45		336
46		336
47		280
48		325
49		284
50		305
51		306
52		320
53		307
54		310
55		327
56		292
57		323
58		338
59		321
60		310
61		322
62		295
63		348
64		346
65		352
66		299
67		333
68		335
69		330
70		319
71		322
72		313
73		310
74		306
75		312
76		290
77		308
78		323
79		295
80		344
81		306
82		308
83		342
84		318
85		330
86		345
87		348
88		337
89		343
90		374
91		383
92		378
93		413
94		380
95		386
96		391
97		375
98		337
99		342
100		338
101		333
102		323
103		311
104		332
105		320
106		295
107		321
108		301
109		299
110		297
111		281
112		322
113		316
114		285
115		316
116		287
117		296
118		305
119		303
120		277
121		277
122		252
123		296
124		277
125		279
126		258
127		259
128		258
129		280
130		238
131		217
132		234
133		218
134		237
135		240
136		208
137		225
138		221
139		209
140		205
141		208
142		195
143		199
144		208
145		197
146		214
147		184
148		184
149		201
150		199
151		177
152		183
153		221
154		200
155		178
156		217
157		192
158		178
159		179
160		181
161		189
162		175
163		163
164		171
165		180
166		184
167		178
168		148
169		209
170		206
171		175
172		168
173		165
174		167
175		170
176		152
177		171
178		139
179		146
180		122
181		147
182		132
183		130
184		121
185		127
186		111
187		121
188		83
189		104
190		104
191		100
192		79
193		89
194		91
195		70
196		77
197		90
198		72
199		63
200		78
201		64
202		63
203		80
204		77
205		74
206		56
207		75
208		51
209		58
210		74
211		58
212		58
213		73
214		54
215		58
216		45
217		66
218		58
219		51
220		68
221		62
222		59
223		58
224		58
225		59
226		58
227		55
228		51
229		48
230		55
231		54
232		56
233		54
234		55
235		62
236		65
237		56
238		53
239		48
240		45
241		66
242		51
243		53
244		42
245		56
246		60
247		64
248		52
249		54
250		41
251		61
252		70
253		82
254		85
255		75
256		104
257		129
258		126
259		125
260		189
261		191
262		253
263		284
264		292
265		304
266		392
267		406
268		452
269		489
270		518
271		613
272		646
273		728
274		674
275		675
276		695
277		726
278		694
279		774
280		707
281		712
282		694
283		654
284		657
285		590
286		548
287		482
288		468
289		418
290		389
291		332
292		311
293		267
294		218
295		189
296		165
297		138
298		134
299		88
300		74
301		70
302		54
303		50
304		61
305		45
306		43
307		35
308		33
309		32
310		24
311		23
312		32
313		28
314		24
315		29
316		25
317		18
318		29
319		34
320		34
321		30
322		20
323		25
324		22
325		32
326		23
327		25
328		30
329		21
330		26
331		22
332		19
333		25
334		31
335		18
336		25
337		24
338		21
339		28
340		34
341		28
342		37
343		24
344		18
345		20
346		33
347		25
348		32
349		26
350		27
351		23
352		37
353		35
354		21
355		27
356		22
357		24
358		21
359		21
360		20
361		22
362		22
363		30
364		30
365		31
366		31
367		28
368		23
369		25
370		29
371		24
372		33
373		26
374		31
375		26
376		15
377		19
378		21
379		23
380		20
381		25
382		17
383		18
384		19
385		25
386		23
387		23
388		18
389		21
390		22
391		23
392		19
393		15
394		23
395		25
396		19
397		27
398		25
399		14
400		25
401		25
402		23
403		29
404		18
405		34
406		24
407		17
408		25
409		24
410		30
411		19
412		28
413		19
414		25
415		24
416		18
417		32
418		25
419		26
420		28
421		20
422		34
423		25
424		26
425		22
426		24
427		18
428		22
429		21
430		26
431		29
432		24
433		20
434		24
435		23
436		20
437		28
438		26
439		23
440		32
441		25
442		31
443		23
444		31
445		22
446		16
447		32
448		24
449		29
450		27
451		24
452		21
453		24
454		30
455		31
456		22
457		26
458		25
459		26
460		30
461		24
