Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.82
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 03:12:19
End Time:	April 15, 2020, 03:17:20
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	2963	1396	27	721
2	250	313	20012	16976	23	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		1
12		0
13		1
14		3
15		3
16		1
17		12
18		138
19		168
20		180
21		213
22		187
23		205
24		226
25		213
26		229
27		203
28		220
29		268
30		244
31		250
32		272
33		252
34		287
35		295
36		282
37		262
38		283
39		297
40		280
41		288
42		316
43		328
44		320
45		313
46		300
47		295
48		305
49		345
50		326
51		321
52		333
53		341
54		305
55		310
56		313
57		322
58		316
59		332
60		308
61		335
62		331
63		304
64		301
65		325
66		321
67		319
68		322
69		310
70		333
71		337
72		304
73		326
74		346
75		358
76		293
77		316
78		337
79		299
80		346
81		325
82		303
83		318
84		299
85		354
86		384
87		348
88		368
89		414
90		389
91		385
92		406
93		404
94		406
95		417
96		392
97		385
98		343
99		350
100		331
101		342
102		336
103		339
104		313
105		305
106		318
107		268
108		301
109		281
110		311
111		298
112		279
113		315
114		286
115		288
116		292
117		285
118		302
119		288
120		287
121		259
122		260
123		294
124		260
125		267
126		262
127		232
128		249
129		241
130		264
131		255
132		232
133		243
134		246
135		208
136		232
137		206
138		199
139		229
140		221
141		208
142		198
143		201
144		217
145		182
146		211
147		196
148		214
149		206
150		187
151		217
152		174
153		188
154		201
155		198
156		201
157		200
158		172
159		176
160		158
161		207
162		145
163		199
164		161
165		192
166		177
167		181
168		190
169		175
170		168
171		159
172		179
173		163
174		162
175		143
176		141
177		153
178		139
179		142
180		134
181		139
182		123
183		106
184		114
185		107
186		121
187		113
188		97
189		96
190		96
191		80
192		76
193		97
194		71
195		92
196		85
197		76
198		76
199		76
200		64
201		71
202		69
203		67
204		72
205		76
206		65
207		64
208		67
209		62
210		73
211		60
212		57
213		59
214		71
215		57
216		52
217		62
218		56
219		66
220		51
221		63
222		53
223		71
224		52
225		50
226		55
227		57
228		58
229		49
230		48
231		50
232		59
233		35
234		57
235		56
236		57
237		53
238		53
239		50
240		57
241		41
242		52
243		44
244		62
245		51
246		35
247		51
248		63
249		55
250		58
251		73
252		61
253		58
254		69
255		75
256		95
257		114
258		145
259		165
260		179
261		208
262		235
263		264
264		301
265		379
266		403
267		411
268		471
269		490
270		512
271		592
272		652
273		632
274		660
275		733
276		779
277		729
278		767
279		768
280		749
281		747
282		678
283		676
284		629
285		591
286		576
287		548
288		438
289		400
290		366
291		336
292		292
293		291
294		228
295		189
296		173
297		156
298		124
299		107
300		83
301		81
302		71
303		64
304		48
305		35
306		36
307		39
308		31
309		30
310		25
311		28
312		39
313		30
314		33
315		25
316		28
317		27
318		21
319		26
320		33
321		25
322		23
323		28
324		25
325		35
326		31
327		17
328		24
329		21
330		20
331		35
332		26
333		25
334		24
335		21
336		27
337		31
338		23
339		25
340		14
341		22
342		29
343		27
344		32
345		34
346		28
347		24
348		30
349		26
350		29
351		30
352		33
353		21
354		25
355		21
356		27
357		23
358		21
359		30
360		28
361		24
362		27
363		27
364		26
365		28
366		27
367		24
368		30
369		26
370		28
371		15
372		17
373		27
374		35
375		20
376		29
377		22
378		20
379		20
380		26
381		26
382		31
383		18
384		20
385		25
386		17
387		19
388		17
389		27
390		22
391		18
392		21
393		24
394		26
395		23
396		21
397		31
398		24
399		33
400		25
401		15
402		27
403		19
404		29
405		22
406		25
407		15
408		23
409		17
410		15
411		18
412		16
413		20
414		19
415		17
416		19
417		29
418		24
419		27
420		23
421		29
422		22
423		31
424		25
425		24
426		25
427		23
428		24
429		25
430		29
431		22
432		24
433		23
434		22
435		20
436		19
437		22
438		22
439		21
440		25
441		21
442		25
443		16
444		18
445		18
446		22
447		23
448		27
449		28
450		23
451		26
452		15
453		23
454		33
455		24
456		34
457		27
458		23
459		24
460		25
461		27
