Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.82
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 02:34:54
End Time:	April 15, 2020, 02:39:55
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	2890	1584	17	721
2	250	313	19623	16998	24	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		1
14		1
15		7
16		4
17		6
18		171
19		148
20		177
21		212
22		190
23		228
24		208
25		213
26		214
27		240
28		227
29		210
30		244
31		274
32		275
33		275
34		278
35		269
36		275
37		290
38		281
39		316
40		279
41		298
42		316
43		358
44		312
45		302
46		291
47		316
48		322
49		328
50		328
51		290
52		326
53		298
54		297
55		272
56		297
57		328
58		314
59		318
60		353
61		327
62		295
63		324
64		305
65		285
66		310
67		317
68		337
69		312
70		300
71		340
72		321
73		318
74		305
75		311
76		332
77		290
78		329
79		298
80		303
81		311
82		337
83		308
84		321
85		328
86		322
87		359
88		316
89		336
90		365
91		375
92		363
93		375
94		370
95		410
96		362
97		357
98		361
99		370
100		366
101		365
102		339
103		338
104		328
105		315
106		310
107		310
108		319
109		300
110		282
111		281
112		274
113		312
114		293
115		310
116		297
117		279
118		289
119		265
120		252
121		286
122		291
123		282
124		294
125		286
126		241
127		277
128		233
129		251
130		249
131		259
132		239
133		244
134		224
135		228
136		219
137		218
138		206
139		220
140		248
141		205
142		170
143		226
144		173
145		192
146		188
147		176
148		156
149		186
150		200
151		186
152		189
153		171
154		195
155		209
156		186
157		179
158		170
159		169
160		161
161		187
162		172
163		147
164		196
165		178
166		193
167		165
168		159
169		172
170		173
171		166
172		146
173		143
174		170
175		147
176		145
177		120
178		168
179		131
180		150
181		129
182		119
183		110
184		140
185		102
186		126
187		128
188		96
189		107
190		102
191		87
192		83
193		101
194		86
195		78
196		80
197		89
198		82
199		77
200		86
201		80
202		78
203		77
204		69
205		65
206		63
207		79
208		47
209		80
210		58
211		56
212		76
213		70
214		69
215		46
216		52
217		66
218		57
219		64
220		43
221		54
222		58
223		71
224		44
225		65
226		58
227		59
228		55
229		55
230		46
231		60
232		55
233		65
234		51
235		59
236		37
237		50
238		55
239		52
240		51
241		57
242		45
243		56
244		46
245		54
246		64
247		53
248		60
249		50
250		56
251		74
252		80
253		63
254		79
255		92
256		86
257		120
258		133
259		139
260		193
261		196
262		228
263		250
264		266
265		307
266		361
267		402
268		450
269		452
270		526
271		561
272		590
273		618
274		674
275		699
276		684
277		755
278		744
279		780
280		710
281		761
282		715
283		657
284		663
285		599
286		549
287		502
288		446
289		405
290		395
291		366
292		325
293		260
294		236
295		205
296		160
297		153
298		135
299		93
300		96
301		74
302		65
303		74
304		45
305		44
306		43
307		29
308		34
309		39
310		21
311		30
312		23
313		13
314		33
315		20
316		23
317		37
318		28
319		23
320		20
321		38
322		35
323		31
324		20
325		20
326		24
327		17
328		27
329		26
330		16
331		32
332		28
333		25
334		33
335		20
336		19
337		27
338		28
339		34
340		43
341		32
342		21
343		28
344		28
345		24
346		18
347		24
348		31
349		22
350		32
351		21
352		31
353		22
354		20
355		24
356		27
357		34
358		27
359		30
360		27
361		24
362		25
363		32
364		17
365		24
366		20
367		28
368		25
369		30
370		13
371		30
372		13
373		18
374		25
375		37
376		37
377		14
378		32
379		26
380		24
381		25
382		26
383		22
384		20
385		24
386		24
387		18
388		20
389		19
390		22
391		14
392		22
393		27
394		21
395		32
396		26
397		19
398		18
399		16
400		23
401		27
402		30
403		29
404		25
405		23
406		17
407		23
408		27
409		22
410		25
411		20
412		27
413		26
414		22
415		13
416		24
417		25
418		30
419		30
420		17
421		28
422		20
423		18
424		19
425		25
426		31
427		20
428		19
429		20
430		22
431		32
432		22
433		26
434		27
435		16
436		24
437		24
438		16
439		25
440		26
441		27
442		21
443		22
444		28
445		20
446		22
447		22
448		26
449		25
450		27
451		28
452		25
453		24
454		23
455		35
456		19
457		19
458		21
459		18
460		36
461		12
