Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.87
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 04:08:11
End Time:	April 15, 2020, 04:13:12
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	2964	1615	22	722
2	250	313	19125	16596	23	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		1
15		1
16		2
17		8
18		166
19		196
20		189
21		203
22		245
23		245
24		228
25		216
26		244
27		217
28		246
29		258
30		241
31		267
32		266
33		273
34		290
35		293
36		281
37		328
38		325
39		322
40		299
41		334
42		300
43		334
44		307
45		328
46		321
47		324
48		346
49		369
50		342
51		344
52		309
53		324
54		315
55		325
56		335
57		348
58		321
59		381
60		343
61		325
62		311
63		330
64		331
65		341
66		360
67		358
68		360
69		323
70		339
71		358
72		319
73		348
74		341
75		345
76		328
77		347
78		355
79		340
80		367
81		334
82		364
83		325
84		348
85		331
86		370
87		321
88		368
89		342
90		397
91		379
92		381
93		404
94		397
95		412
96		409
97		412
98		388
99		356
100		359
101		349
102		315
103		316
104		319
105		326
106		332
107		318
108		264
109		289
110		284
111		291
112		293
113		333
114		291
115		286
116		339
117		321
118		300
119		304
120		304
121		326
122		295
123		275
124		295
125		270
126		258
127		250
128		268
129		248
130		259
131		275
132		263
133		263
134		244
135		262
136		244
137		232
138		227
139		265
140		224
141		245
142		249
143		230
144		203
145		222
146		228
147		232
148		236
149		254
150		211
151		230
152		199
153		215
154		235
155		232
156		205
157		214
158		220
159		201
160		240
161		199
162		244
163		205
164		212
165		200
166		212
167		212
168		187
169		215
170		192
171		241
172		187
173		180
174		203
175		186
176		162
177		186
178		142
179		145
180		179
181		147
182		133
183		142
184		133
185		131
186		122
187		131
188		124
189		119
190		106
191		112
192		119
193		107
194		121
195		98
196		105
197		105
198		77
199		99
200		82
201		90
202		85
203		88
204		96
205		87
206		83
207		77
208		95
209		82
210		73
211		64
212		77
213		70
214		71
215		59
216		60
217		63
218		89
219		75
220		63
221		70
222		83
223		60
224		66
225		68
226		72
227		61
228		63
229		56
230		54
231		55
232		50
233		54
234		52
235		64
236		59
237		54
238		57
239		59
240		61
241		59
242		50
243		71
244		64
245		59
246		73
247		76
248		67
249		46
250		68
251		56
252		74
253		75
254		82
255		70
256		123
257		111
258		157
259		143
260		141
261		185
262		217
263		236
264		312
265		342
266		355
267		390
268		378
269		436
270		500
271		575
272		553
273		615
274		634
275		690
276		733
277		700
278		671
279		657
280		704
281		755
282		655
283		670
284		622
285		621
286		493
287		511
288		516
289		450
290		374
291		339
292		298
293		255
294		209
295		196
296		167
297		160
298		124
299		106
300		100
301		78
302		71
303		43
304		41
305		44
306		38
307		32
308		43
309		24
310		25
311		29
312		27
313		26
314		19
315		24
316		23
317		31
318		15
319		35
320		31
321		32
322		27
323		26
324		23
325		34
326		24
327		37
328		39
329		19
330		28
331		25
332		28
333		22
334		20
335		21
336		18
337		17
338		24
339		28
340		28
341		22
342		27
343		27
344		39
345		28
346		20
347		34
348		24
349		26
350		24
351		28
352		22
353		17
354		26
355		21
356		34
357		28
358		40
359		29
360		33
361		34
362		16
363		29
364		30
365		25
366		27
367		25
368		31
369		27
370		24
371		27
372		30
373		22
374		32
375		27
376		23
377		25
378		30
379		26
380		21
381		19
382		30
383		26
384		33
385		24
386		23
387		32
388		17
389		20
390		20
391		22
392		17
393		19
394		27
395		19
396		29
397		27
398		19
399		20
400		27
401		23
402		26
403		24
404		23
405		27
406		16
407		20
408		27
409		22
410		23
411		28
412		33
413		16
414		29
415		20
416		25
417		12
418		15
419		30
420		12
421		20
422		22
423		16
424		27
425		24
426		31
427		25
428		34
429		35
430		13
431		12
432		20
433		25
434		24
435		21
436		30
437		29
438		16
439		21
440		25
441		21
442		31
443		22
444		27
445		19
446		33
447		28
448		22
449		31
450		28
451		27
452		20
453		29
454		29
455		35
456		17
457		26
458		27
459		24
460		25
461		31
