Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.82
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 01:19:36
End Time:	April 15, 2020, 01:24:37
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	2798	1319	15	720
2	250	313	18987	16105	24	278

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		3
17		12
18		141
19		193
20		191
21		194
22		250
23		221
24		264
25		228
26		230
27		210
28		241
29		240
30		246
31		277
32		287
33		240
34		260
35		281
36		274
37		303
38		311
39		292
40		322
41		287
42		312
43		307
44		313
45		316
46		298
47		282
48		293
49		356
50		270
51		302
52		315
53		321
54		309
55		302
56		306
57		298
58		322
59		323
60		322
61		360
62		354
63		328
64		275
65		291
66		304
67		324
68		299
69		319
70		302
71		283
72		337
73		301
74		288
75		319
76		311
77		333
78		321
79		293
80		276
81		321
82		336
83		346
84		344
85		339
86		339
87		321
88		372
89		349
90		375
91		399
92		396
93		366
94		381
95		392
96		375
97		399
98		336
99		354
100		351
101		314
102		333
103		308
104		311
105		314
106		312
107		266
108		294
109		261
110		275
111		274
112		273
113		291
114		286
115		304
116		254
117		297
118		333
119		269
120		253
121		275
122		260
123		252
124		280
125		251
126		250
127		249
128		235
129		264
130		254
131		224
132		222
133		237
134		217
135		190
136		251
137		209
138		187
139		212
140		232
141		209
142		174
143		222
144		187
145		187
146		225
147		175
148		195
149		204
150		175
151		202
152		181
153		218
154		184
155		163
156		181
157		191
158		172
159		171
160		176
161		167
162		193
163		188
164		182
165		177
166		156
167		159
168		161
169		201
170		147
171		166
172		161
173		133
174		149
175		148
176		140
177		144
178		120
179		125
180		130
181		125
182		138
183		120
184		99
185		121
186		109
187		95
188		103
189		97
190		101
191		100
192		72
193		88
194		85
195		74
196		87
197		89
198		67
199		69
200		54
201		75
202		76
203		68
204		57
205		68
206		59
207		68
208		68
209		62
210		68
211		64
212		57
213		52
214		64
215		69
216		47
217		56
218		65
219		54
220		63
221		42
222		59
223		49
224		46
225		56
226		52
227		57
228		57
229		61
230		54
231		37
232		62
233		59
234		60
235		54
236		64
237		53
238		63
239		47
240		70
241		41
242		56
243		47
244		58
245		55
246		57
247		52
248		68
249		53
250		63
251		70
252		66
253		86
254		86
255		107
256		112
257		98
258		130
259		152
260		172
261		197
262		217
263		282
264		305
265		361
266		327
267		391
268		442
269		493
270		519
271		569
272		565
273		663
274		668
275		672
276		711
277		693
278		722
279		643
280		709
281		704
282		682
283		617
284		589
285		552
286		541
287		456
288		438
289		403
290		363
291		318
292		260
293		222
294		209
295		179
296		182
297		137
298		119
299		80
300		79
301		73
302		81
303		57
304		44
305		46
306		44
307		40
308		42
309		30
310		29
311		24
312		27
313		29
314		33
315		33
316		31
317		36
318		25
319		24
320		20
321		26
322		30
323		26
324		21
325		26
326		27
327		36
328		19
329		23
330		26
331		28
332		33
333		29
334		25
335		20
336		20
337		30
338		35
339		27
340		20
341		30
342		29
343		21
344		26
345		30
346		26
347		17
348		25
349		26
350		33
351		29
352		21
353		34
354		29
355		31
356		36
357		20
358		21
359		30
360		22
361		22
362		30
363		26
364		29
365		23
366		23
367		25
368		32
369		22
370		20
371		20
372		35
373		27
374		27
375		28
376		32
377		29
378		12
379		24
380		18
381		19
382		28
383		18
384		24
385		25
386		23
387		25
388		20
389		23
390		27
391		28
392		28
393		19
394		25
395		18
396		20
397		25
398		20
399		26
400		25
401		21
402		18
403		19
404		34
405		20
406		26
407		23
408		20
409		23
410		36
411		23
412		20
413		23
414		19
415		18
416		16
417		30
418		27
419		22
420		33
421		30
422		21
423		24
424		23
425		30
426		25
427		18
428		22
429		20
430		25
431		23
432		30
433		23
434		24
435		18
436		20
437		22
438		14
439		22
440		23
441		29
442		24
443		27
444		19
445		24
446		20
447		32
448		27
449		29
450		30
451		20
452		21
453		17
454		26
455		22
456		20
457		29
458		23
459		22
460		21
461		32
