Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.8
Elapsed Live Time:	300.0
Start Time:	April 15, 2020, 10:56:35
End Time:	April 15, 2020, 11:01:36
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	3026	2242	34	731
2	250	313	18249	15368	24	281

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		3
16		3
17		19
18		144
19		172
20		168
21		171
22		189
23		211
24		206
25		220
26		204
27		208
28		199
29		228
30		247
31		262
32		267
33		237
34		264
35		278
36		261
37		268
38		296
39		268
40		286
41		289
42		269
43		313
44		331
45		293
46		285
47		295
48		301
49		300
50		308
51		302
52		279
53		286
54		296
55		306
56		297
57		298
58		332
59		300
60		305
61		315
62		351
63		303
64		293
65		315
66		318
67		299
68		360
69		316
70		281
71		288
72		325
73		314
74		272
75		298
76		298
77		321
78		318
79		316
80		288
81		317
82		296
83		296
84		297
85		311
86		316
87		309
88		334
89		347
90		345
91		331
92		362
93		376
94		353
95		391
96		343
97		356
98		333
99		384
100		368
101		369
102		332
103		315
104		312
105		327
106		310
107		252
108		275
109		289
110		282
111		296
112		274
113		288
114		258
115		310
116		277
117		271
118		281
119		288
120		267
121		288
122		273
123		268
124		251
125		258
126		255
127		227
128		246
129		241
130		235
131		241
132		236
133		229
134		212
135		237
136		241
137		218
138		212
139		207
140		223
141		220
142		191
143		187
144		197
145		182
146		201
147		179
148		186
149		197
150		174
151		185
152		186
153		179
154		180
155		182
156		168
157		145
158		180
159		173
160		203
161		168
162		190
163		168
164		184
165		198
166		181
167		162
168		176
169		171
170		160
171		147
172		153
173		151
174		128
175		165
176		160
177		135
178		144
179		119
180		123
181		129
182		115
183		111
184		99
185		143
186		96
187		85
188		118
189		95
190		99
191		85
192		96
193		91
194		77
195		96
196		95
197		85
198		71
199		78
200		60
201		70
202		71
203		73
204		77
205		64
206		81
207		79
208		68
209		67
210		61
211		77
212		47
213		73
214		66
215		55
216		70
217		71
218		67
219		50
220		65
221		54
222		49
223		67
224		64
225		61
226		63
227		61
228		46
229		59
230		64
231		46
232		74
233		49
234		53
235		64
236		49
237		58
238		64
239		57
240		61
241		58
242		45
243		74
244		64
245		47
246		49
247		53
248		58
249		58
250		56
251		58
252		57
253		66
254		68
255		74
256		69
257		69
258		86
259		98
260		129
261		133
262		140
263		156
264		172
265		217
266		242
267		231
268		303
269		367
270		342
271		454
272		461
273		435
274		513
275		553
276		568
277		557
278		603
279		656
280		655
281		696
282		674
283		648
284		639
285		630
286		615
287		606
288		561
289		509
290		497
291		429
292		373
293		373
294		350
295		288
296		254
297		236
298		215
299		179
300		142
301		131
302		85
303		84
304		80
305		72
306		36
307		54
308		48
309		33
310		31
311		29
312		29
313		35
314		39
315		33
316		24
317		20
318		30
319		35
320		28
321		21
322		26
323		26
324		26
325		20
326		20
327		25
328		17
329		31
330		25
331		23
332		23
333		18
334		21
335		17
336		25
337		22
338		19
339		25
340		25
341		28
342		23
343		20
344		30
345		34
346		20
347		24
348		20
349		27
350		20
351		32
352		26
353		29
354		27
355		24
356		28
357		20
358		27
359		17
360		29
361		30
362		19
363		28
364		19
365		26
366		29
367		31
368		26
369		30
370		25
371		22
372		25
373		20
374		20
375		34
376		26
377		31
378		24
379		30
380		33
381		19
382		25
383		27
384		27
385		13
386		21
387		20
388		19
389		18
390		21
391		21
392		17
393		24
394		24
395		24
396		19
397		14
398		22
399		17
400		22
401		30
402		12
403		24
404		30
405		23
406		29
407		17
408		23
409		26
410		14
411		25
412		22
413		20
414		24
415		14
416		29
417		21
418		20
419		36
420		17
421		22
422		21
423		17
424		28
425		14
426		17
427		28
428		30
429		22
430		21
431		17
432		22
433		19
434		23
435		23
436		16
437		23
438		31
439		24
440		24
441		22
442		22
443		21
444		24
445		16
446		36
447		13
448		26
449		26
450		21
451		21
452		27
453		17
454		24
455		23
456		26
457		23
458		22
459		26
460		23
461		24
