Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	601.69
Elapsed Live Time:	600.0
Start Time:	April 15, 2020, 10:41:03
End Time:	April 15, 2020, 10:51:05
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	694	780	6565	5650	42	736
2	250	313	40395	34954	24	282

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		3
16		4
17		34
18		329
19		365
20		355
21		400
22		432
23		445
24		444
25		415
26		417
27		441
28		479
29		468
30		498
31		492
32		550
33		539
34		505
35		562
36		541
37		575
38		609
39		568
40		563
41		609
42		604
43		643
44		596
45		663
46		610
47		603
48		602
49		662
50		648
51		634
52		634
53		661
54		661
55		652
56		575
57		607
58		642
59		624
60		630
61		659
62		587
63		585
64		609
65		600
66		653
67		672
68		674
69		636
70		658
71		588
72		645
73		610
74		624
75		642
76		641
77		579
78		609
79		627
80		655
81		667
82		585
83		647
84		656
85		627
86		662
87		660
88		643
89		670
90		705
91		710
92		737
93		744
94		749
95		760
96		779
97		763
98		780
99		755
100		745
101		734
102		683
103		660
104		684
105		644
106		601
107		608
108		600
109		624
110		609
111		568
112		614
113		558
114		631
115		639
116		559
117		603
118		579
119		554
120		632
121		572
122		557
123		592
124		596
125		535
126		575
127		523
128		529
129		513
130		478
131		518
132		456
133		495
134		510
135		462
136		484
137		442
138		426
139		443
140		495
141		422
142		398
143		388
144		418
145		414
146		407
147		409
148		380
149		376
150		374
151		381
152		398
153		381
154		386
155		410
156		379
157		374
158		401
159		387
160		374
161		379
162		382
163		345
164		370
165		347
166		363
167		347
168		342
169		372
170		342
171		375
172		326
173		350
174		326
175		316
176		314
177		318
178		303
179		309
180		303
181		287
182		285
183		247
184		254
185		248
186		247
187		264
188		215
189		193
190		183
191		185
192		194
193		199
194		199
195		182
196		159
197		192
198		177
199		150
200		170
201		157
202		179
203		156
204		157
205		136
206		144
207		168
208		155
209		128
210		142
211		151
212		118
213		115
214		132
215		138
216		117
217		115
218		119
219		103
220		101
221		133
222		102
223		111
224		122
225		93
226		110
227		112
228		100
229		106
230		101
231		100
232		109
233		118
234		116
235		102
236		108
237		125
238		89
239		99
240		116
241		101
242		102
243		99
244		89
245		89
246		91
247		93
248		122
249		123
250		97
251		100
252		107
253		105
254		118
255		96
256		127
257		151
258		184
259		173
260		167
261		224
262		233
263		279
264		314
265		400
266		405
267		481
268		523
269		588
270		650
271		734
272		801
273		929
274		1005
275		1058
276		1192
277		1248
278		1254
279		1362
280		1392
281		1491
282		1434
283		1420
284		1524
285		1581
286		1421
287		1407
288		1376
289		1256
290		1206
291		1153
292		1031
293		936
294		852
295		824
296		731
297		617
298		555
299		473
300		421
301		324
302		301
303		278
304		204
305		186
306		193
307		142
308		133
309		124
310		82
311		86
312		79
313		57
314		61
315		53
316		58
317		68
318		47
319		57
320		52
321		37
322		55
323		47
324		43
325		52
326		61
327		47
328		50
329		54
330		66
331		47
332		47
333		45
334		49
335		49
336		44
337		52
338		54
339		46
340		49
341		43
342		55
343		49
344		49
345		51
346		45
347		40
348		44
349		45
350		39
351		52
352		61
353		50
354		47
355		52
356		42
357		51
358		45
359		49
360		41
361		55
362		50
363		59
364		51
365		65
366		45
367		54
368		55
369		68
370		60
371		51
372		63
373		43
374		57
375		60
376		58
377		41
378		55
379		45
380		55
381		45
382		41
383		58
384		49
385		52
386		38
387		48
388		50
389		44
390		46
391		54
392		40
393		40
394		43
395		49
396		52
397		44
398		48
399		45
400		33
401		42
402		40
403		45
404		52
405		34
406		33
407		43
408		54
409		37
410		53
411		54
412		38
413		53
414		42
415		51
416		42
417		50
418		48
419		41
420		58
421		51
422		57
423		59
424		58
425		47
426		54
427		50
428		51
429		46
430		62
431		55
432		55
433		57
434		49
435		56
436		59
437		36
438		47
439		51
440		50
441		41
442		64
443		40
444		51
445		48
446		37
447		45
448		50
449		43
450		49
451		61
452		35
453		37
454		50
455		50
456		46
