Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.20
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	60.17
Elapsed Live Time:	60.0
Start Time:	April 15, 2020, 10:22:54
End Time:	April 15, 2020, 10:23:55
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	380	385	36	2	0	382

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		1
17		5
18		28
19		36
20		54
21		30
22		45
23		40
24		35
25		31
26		53
27		37
28		34
29		54
30		45
31		47
32		55
33		49
34		52
35		53
36		50
37		58
38		50
39		68
40		53
41		50
42		68
43		45
44		61
45		63
46		57
47		53
48		55
49		49
50		67
51		47
52		50
53		56
54		64
55		61
56		64
57		60
58		65
59		79
60		52
61		53
62		71
63		59
64		78
65		54
66		57
67		62
68		58
69		81
70		48
71		59
72		87
73		58
74		73
75		65
76		54
77		60
78		57
79		69
80		58
81		64
82		57
83		63
84		57
85		68
86		66
87		66
88		68
89		59
90		55
91		47
92		63
93		85
94		69
95		69
96		72
97		81
98		94
99		78
100		81
101		73
102		73
103		76
104		73
105		50
106		70
107		73
108		61
109		47
110		65
111		48
112		54
113		41
114		53
115		51
116		58
117		64
118		65
119		64
120		63
121		48
122		54
123		59
124		62
125		61
126		54
127		59
128		53
129		42
130		47
131		51
132		53
133		45
134		51
135		38
136		50
137		44
138		40
139		32
140		54
141		38
142		37
143		40
144		48
145		35
146		54
147		41
148		40
149		31
150		45
151		42
152		32
153		37
154		30
155		47
156		45
157		30
158		48
159		44
160		46
161		41
162		45
163		39
164		38
165		39
166		48
167		41
168		35
169		38
170		38
171		36
172		33
173		42
174		53
175		43
176		22
177		32
178		21
179		26
180		27
181		23
182		31
183		26
184		30
185		30
186		26
187		33
188		23
189		23
190		22
191		23
192		20
193		18
194		17
195		18
196		12
197		19
198		14
199		20
200		18
201		17
202		18
203		13
204		12
205		11
206		20
207		13
208		17
209		13
210		22
211		9
212		16
213		15
214		11
215		10
216		10
217		12
218		16
219		16
220		13
221		8
222		12
223		12
224		15
225		8
226		12
227		9
228		8
229		8
230		20
231		8
232		12
233		15
234		14
235		7
236		9
237		8
238		12
239		7
240		6
241		10
242		10
243		15
244		16
245		6
246		5
247		11
248		14
249		5
250		10
251		10
252		9
253		5
254		13
255		13
256		10
257		10
258		13
259		11
260		4
261		15
262		12
263		14
264		12
265		16
266		18
267		26
268		21
269		23
270		27
271		47
272		42
273		43
274		61
275		70
276		76
277		75
278		101
279		85
280		110
281		107
282		132
283		124
284		126
285		135
286		130
287		153
288		147
289		181
290		151
291		170
292		137
293		139
294		123
295		120
296		123
297		108
298		103
299		111
300		92
301		64
302		85
303		69
304		47
305		52
306		38
307		37
308		35
309		22
310		22
311		18
312		15
313		10
314		6
315		12
316		10
317		5
318		5
319		7
320		10
321		7
322		9
323		5
324		4
325		8
326		2
327		9
328		10
329		9
330		4
331		4
332		5
333		9
334		4
335		5
336		7
337		5
338		4
339		5
340		4
341		2
342		7
343		8
344		5
345		6
346		3
347		5
348		4
349		2
350		2
351		7
352		3
353		3
354		2
355		3
356		7
357		2
358		9
359		2
360		8
361		7
362		5
363		3
364		6
365		5
366		1
367		1
368		7
369		7
370		6
371		3
372		3
373		7
374		4
375		6
376		8
377		2
378		8
379		6
380		9
381		9
382		5
383		4
384		5
385		4
386		3
387		4
388		3
389		4
390		2
391		4
392		7
393		3
394		1
395		3
396		4
397		7
398		7
399		6
400		6
401		6
402		2
403		3
404		4
405		6
406		6
407		3
408		5
409		4
410		5
411		10
412		7
413		3
414		5
415		4
416		2
417		4
418		3
419		6
420		3
421		2
422		6
423		2
424		3
425		8
426		3
427		3
428		6
429		1
430		5
431		5
432		5
433		2
434		3
435		6
436		4
437		1
438		1
439		5
440		3
441		4
442		7
443		7
444		7
445		4
446		8
447		7
448		3
449		3
450		1
451		7
452		1
453		4
454		1
455		4
456		5
457		4
458		6
459		5
460		7
461		2
462		8
463		6
464		6
465		4
466		4
